"","geo_type","region","transportation_type","alternative_name","sub.region","country","X2020.01.13","X2020.01.14","X2020.01.15","X2020.01.16","X2020.01.17","X2020.01.18","X2020.01.19","X2020.01.20","X2020.01.21","X2020.01.22","X2020.01.23","X2020.01.24","X2020.01.25","X2020.01.26","X2020.01.27","X2020.01.28","X2020.01.29","X2020.01.30","X2020.01.31","X2020.02.01","X2020.02.02","X2020.02.03","X2020.02.04","X2020.02.05","X2020.02.06","X2020.02.07","X2020.02.08","X2020.02.09","X2020.02.10","X2020.02.11","X2020.02.12","X2020.02.13","X2020.02.14","X2020.02.15","X2020.02.16","X2020.02.17","X2020.02.18","X2020.02.19","X2020.02.20","X2020.02.21","X2020.02.22","X2020.02.23","X2020.02.24","X2020.02.25","X2020.02.26","X2020.02.27","X2020.02.28","X2020.02.29","X2020.03.01","X2020.03.02","X2020.03.03","X2020.03.04","X2020.03.05","X2020.03.06","X2020.03.07","X2020.03.08","X2020.03.09","X2020.03.10","X2020.03.11","X2020.03.12","X2020.03.13","X2020.03.14","X2020.03.15","X2020.03.16","X2020.03.17","X2020.03.18","X2020.03.19","X2020.03.20","X2020.03.21","X2020.03.22","X2020.03.23","X2020.03.24","X2020.03.25","X2020.03.26","X2020.03.27","X2020.03.28","X2020.03.29","X2020.03.30","X2020.03.31","X2020.04.01","X2020.04.02","X2020.04.03","X2020.04.04","X2020.04.05","X2020.04.06","X2020.04.07","X2020.04.08","X2020.04.09","X2020.04.10","X2020.04.11","X2020.04.12","X2020.04.13","X2020.04.14","X2020.04.15","X2020.04.16","X2020.04.17","X2020.04.18","X2020.04.19","X2020.04.20","X2020.04.21","X2020.04.22","X2020.04.23","X2020.04.24","X2020.04.25","X2020.04.26","X2020.04.27","X2020.04.28","X2020.04.29","X2020.04.30","X2020.05.01","X2020.05.02","X2020.05.03","X2020.05.04","X2020.05.05","X2020.05.06","X2020.05.07","X2020.05.08","X2020.05.09","X2020.05.10","X2020.05.11","X2020.05.12","X2020.05.13","X2020.05.14","X2020.05.15","X2020.05.16","X2020.05.17","X2020.05.18","X2020.05.19","X2020.05.20","X2020.05.21","X2020.05.22","X2020.05.23","X2020.05.24","X2020.05.25","X2020.05.26","X2020.05.27","X2020.05.28","X2020.05.29","X2020.05.30","X2020.05.31","X2020.06.01","X2020.06.02","X2020.06.03","X2020.06.04","X2020.06.05","X2020.06.06","X2020.06.07","X2020.06.08","X2020.06.09","X2020.06.10","X2020.06.11","X2020.06.12","X2020.06.13","X2020.06.14","X2020.06.15","X2020.06.16","X2020.06.17","X2020.06.18","X2020.06.19","X2020.06.20","X2020.06.21","X2020.06.22","X2020.06.23","X2020.06.24","X2020.06.25","X2020.06.26","X2020.06.27","X2020.06.28","X2020.06.29","X2020.06.30","X2020.07.01","X2020.07.02","X2020.07.03","X2020.07.04","X2020.07.05","X2020.07.06","X2020.07.07","X2020.07.08","X2020.07.09","X2020.07.10","X2020.07.11","X2020.07.12","X2020.07.13","X2020.07.14","X2020.07.15","X2020.07.16","X2020.07.17","X2020.07.18","X2020.07.19","X2020.07.20","X2020.07.21","X2020.07.22","X2020.07.23","X2020.07.24","X2020.07.25","X2020.07.26","X2020.07.27","X2020.07.28","X2020.07.29","X2020.07.30","X2020.07.31","X2020.08.01","X2020.08.02","X2020.08.03","X2020.08.04","X2020.08.05","X2020.08.06","X2020.08.07","X2020.08.08","X2020.08.09","X2020.08.10","X2020.08.11","X2020.08.12","X2020.08.13","X2020.08.14","X2020.08.15","X2020.08.16","X2020.08.17","X2020.08.18","X2020.08.19","X2020.08.20","X2020.08.21","X2020.08.22","X2020.08.23","X2020.08.24","X2020.08.25","X2020.08.26","X2020.08.27","X2020.08.28","X2020.08.29","X2020.08.30","X2020.08.31","X2020.09.01","X2020.09.02","X2020.09.03","X2020.09.04","X2020.09.05","X2020.09.06","X2020.09.07","X2020.09.08","X2020.09.09","X2020.09.10","X2020.09.11","X2020.09.12","X2020.09.13","X2020.09.14","X2020.09.15","X2020.09.16","X2020.09.17","X2020.09.18","X2020.09.19"
"241","city","Boise","driving","","Idaho","United States",100,100.22,104.93,108.2,121.04,110.38,74.02,98.75,102.15,107.29,106.8,120.01,112.09,70.3,98.57,102.92,106.46,107.72,125.14,118.58,69.16,99.03,102.59,107.37,108.3,134.35,121.55,79.52,105.35,110.62,114.47,122.92,139.03,117.01,81.17,107.34,109.17,111.48,119.17,143.46,137.57,85.15,109.79,113.64,111.36,123.86,148.5,136.52,87.34,108.48,111.19,112.84,130.27,155.85,140.5,86.25,109.02,118.6,115.66,115.72,127.93,108.56,67.34,93.36,88.01,84.87,86.5,89.04,76.84,54.82,69.02,68.24,65.49,57.8,65.1,57.41,41.05,56.88,65.67,61.87,63.84,68.92,58.46,44.83,62.48,65.2,68.44,70.41,80.39,68.09,40.4,68.37,70.89,74.12,76.33,87.34,77.18,59.89,80.48,79.78,80.95,82.57,93.01,82.3,63.47,80.5,88.51,88.74,89.34,110.13,95.45,71.02,98.53,100.43,96.31,105.12,118.05,106.8,72.48,NA,NA,107.61,109.92,130.42,119.44,88.97,114.7,118.6,117.24,128.33,146.67,129.3,99.93,103.86,133.88,139.42,143.73,158,135.54,104.63,135.84,142.72,144.02,150.73,165.04,143.56,105.99,145.96,148.1,153.2,158.76,177.64,153.59,124.35,155.31,151.6,152.79,166.57,186.43,170.09,112.98,159.45,161.94,164.4,174.45,184.32,163.44,121.18,150.78,163.19,168.33,170.24,158.54,114.67,114.37,160.8,163.26,162.49,169.04,185.86,164.62,122.94,161.72,161.46,161.03,166.22,178.94,161.54,125.33,158.65,161.78,161.78,167.56,181.58,165.59,130.68,161.16,164.84,171.66,177.42,184.62,166.37,128.37,163.28,166.66,172.89,174.75,191.8,172.74,136.41,171.37,170.5,173.42,181.53,198.31,176.24,133.87,172.89,178.01,185.62,191.29,203.96,180.07,132.46,163.9,164.67,165.34,169.31,192.86,175.1,128.64,160.34,165.12,168.99,178.22,195.47,172.38,135.23,136.51,163.46,166.01,171.74,192.33,185.92,131.25,162.27,162.65,163.4,170.66,193.99,184.79
"242","city","Boise","walking","","Idaho","United States",100,109.11,117.3,117.78,152.28,151.03,89.94,99.63,98.79,116.3,117.6,148.43,143.33,76.54,105.19,107.86,117.48,110.04,144.38,167.47,69.93,96.38,111.73,101.34,108.51,155.18,149.76,96.13,105.68,115.65,125.32,136.84,187.32,153.72,96.13,111.82,110.43,117.69,123.44,177.49,180.04,94.41,118.76,124.07,123.32,145.79,191.79,174.1,97.82,108.69,117.6,117.2,149.64,195.59,178.07,100.97,120.66,136.45,136.47,131.88,149.27,129.56,76.4,95.34,92.19,80.87,86.62,89.2,73.99,57.89,65.38,66.75,59.61,53.05,60.86,55.09,44.03,55.51,57.15,59.4,57.85,63.25,59.82,46.12,64.53,68.98,74.89,71.04,85.11,66.61,37.82,63.09,64.62,64.6,71.99,80.32,68.37,58.1,78.65,79.02,74.89,65.13,84.98,79.3,62.95,76.12,81.2,89.38,83.56,106.86,93.39,70.86,97.17,98.26,90.54,100.97,113.1,116.16,73.08,NA,NA,107.63,103.08,127.1,133.5,100.49,106.42,116.39,106.56,133.02,157.25,148.76,114.58,117.69,149.99,151.63,155.16,171.99,160.28,120.08,157.99,180.38,164.34,166.96,192.35,168.63,112.84,165.59,154.86,175.79,168.31,211.66,179.23,143.61,163.46,167.89,171.57,196.27,215.14,209.69,120.08,172.48,169,184.28,201.09,203.36,191.75,129.93,153.7,181.87,186,188.45,181.31,134.78,125.6,171.09,181.52,180.18,176.81,207.84,199.65,133.87,182.08,185.23,186.39,184.65,207.47,192.97,138.28,177.46,188.41,176.74,192.49,215.77,196.75,154.67,169.07,175.65,187.16,189.38,200.74,196.15,145.47,173.64,188.75,192,197.52,230.56,204.43,157.99,191.91,194.41,203.13,212.71,252.03,220.22,161.91,200.65,230.74,246.37,263.04,277.88,261.53,186.04,240.32,235.4,229.77,240.34,260.24,247.48,156.94,188.24,198.56,204.71,213.7,248.02,233.29,182.66,182.26,197.1,189.33,202.64,248.46,258.4,160.54,202.85,191.58,196.61,201.02,247.14,264.34
"2057","county","Ada County","driving","","Idaho","United States",100,99.89,105.05,108.43,121.67,111.69,75.31,99.84,101.96,107.19,106.85,120.98,113.33,71.34,98.67,102.6,106.81,108.38,125.19,119.31,70.33,99.39,102.6,107.59,108.8,134.28,122.65,80.77,106.14,111.15,114.79,123.5,139.47,118.78,82.51,108.93,110.2,111.88,120.31,144.15,139.35,86.08,110.66,113.91,112.28,124.58,148.93,137.49,88.47,109.39,111.71,113.4,130.77,155.05,141.33,87.61,109.7,119.62,115.96,116.26,129.56,110.05,68.63,94.29,88.89,86.43,88.61,91.42,79.45,57.13,71.42,70.41,67.92,60.1,67.47,59.78,42.63,58.44,67.39,63.96,65.47,71.21,60.8,46.64,64.3,67.67,71.13,73.32,83.09,70.11,41.92,70.33,73.14,75.8,78.91,90.45,80.22,62.11,83.28,82.34,83.18,85.03,96.63,85.12,66.82,83.86,91.56,92.27,91.81,114.37,98.49,74.11,101.82,103.53,99.06,108.37,121.65,111.08,77.73,NA,NA,110.31,112.38,134.01,123.82,92.28,117.1,121.18,119.12,131.47,151.45,132.87,103.92,108.77,137.7,142.89,147.78,163.16,140.38,108.03,139.08,146.68,147.51,154.8,169.29,147.03,108.22,148.73,151.81,157.15,162.41,181.49,155.99,127.53,158.67,154.82,156.46,170.31,192.03,175.56,117.9,163.78,166.32,168.6,178.65,190.17,169.71,125.93,154.12,167.84,173.66,175.99,164.23,120.18,119.97,166.23,167.62,167.15,174,191.04,170.26,132.61,166.44,166.97,165.25,170.95,184.3,167.94,134.89,163.52,165.33,165.81,172.21,187.81,170.99,135.37,165.78,168.62,176.23,180.98,188.97,171.08,138.02,168.07,171.13,177.37,179,197.06,178.65,143.45,176.04,174.75,179.73,186.75,202.74,181.36,140.53,176.05,180.77,188.49,196.85,209.34,183.73,135.45,166.64,167.43,168.66,172.48,196.51,179.69,132.44,163.51,168.62,172.8,182.45,199.97,175.63,138.45,140.43,166.7,169.99,175.19,195.88,189.99,133.95,164.7,166.28,165.68,173.48,197.28,189.29
"2058","county","Ada County","walking","","Idaho","United States",100,109.71,117.67,118.9,151.91,150.61,90.35,101.46,99.8,117.41,118.86,151.67,144.42,76.47,105.71,111.43,119.86,112.84,143.5,166.12,70.84,98.41,113.26,102.56,108.87,154.48,151.06,97.31,107.61,118.67,126.88,138.05,187.16,154.09,96.24,113.26,113.71,118.62,125.77,177.77,181.16,95.35,120.62,125.01,123.97,145.81,191.16,174.6,99.78,110.37,119.3,119.43,149.78,195.33,177.18,102.11,122.56,137.74,138.44,133.68,151.52,130.27,77.1,98.78,94.98,83.51,90.79,96.94,78.05,62.95,69.3,72.99,64.93,60.1,67.28,59.26,48.5,61.02,60.86,64.86,61.91,67.45,64.6,50.52,68.73,74.29,81.57,76.6,89.83,70.53,40.46,66.23,70.01,69.47,75.42,85.4,73.49,64.3,83.51,84.88,80.18,71.12,91.44,84.64,67.64,81.86,90.07,96.41,89.31,114.58,101.2,74.82,105.74,105.37,97,107.54,119.14,121.99,78.53,100.8,82.03,113.99,109.47,134.01,141.85,105,112.82,123.45,111.06,140.59,166.1,152.5,119.53,124.12,158.63,159.63,164.58,178.55,167.43,124.25,163.36,185.96,170.88,172.16,198.96,173.82,115.69,174.25,163.08,185.07,176.25,216.36,184.55,147.07,171.01,173.03,175.81,203.54,225.95,217.56,128.14,183.2,180.49,192.29,206.65,214.65,200.28,134.03,157.41,187.68,192.66,198.15,189.96,143.89,130.29,180.1,190.66,188.05,184.09,217.69,206.02,138.5,189.92,192.46,194.2,190.07,212.13,200.41,146.05,185.18,195.24,182.51,197.41,223.82,203.69,160.13,175.73,183.36,197.87,196.15,207.52,199.85,149.57,182.01,196.87,200.61,203.39,241.55,211.76,162.23,202.65,199.22,210.04,219.73,258.06,225.95,165.62,208.32,234.35,248.04,265.47,281.12,263.89,187.77,244.09,238.7,237.07,245.13,264.21,249.35,158.39,194.89,203.63,212.26,220.01,253.61,237.94,184.27,184.83,206.32,195.07,211.43,252.13,262.15,162.49,208.87,198.54,203.28,209.78,253.32,265.73
"2174","county","Bannock County","driving","","Idaho","United States",100,92.11,106.28,119.05,162.03,152.19,86.44,114.74,106.76,110.75,113.58,138.54,149.67,84.76,95.17,98.89,101.11,111.46,145.38,159.56,84.4,89.09,100.8,95.05,109.55,161.53,161.96,93.97,109.34,114.45,118.69,165.8,204.26,179.75,96.74,140.05,107.23,116.56,124.32,155.93,167.04,99.34,108.1,111.84,115.36,138.67,169.72,166.32,98.82,112.93,113.58,114.88,127.51,165.48,168.41,113.22,113.4,123.59,128.28,128.89,165.12,144.57,98.84,113.66,115.99,116.56,117.71,121.93,101.14,76.3,88.27,93.56,85.39,81.33,91.34,78.54,56.9,79.11,82.06,81.4,77.11,87.86,75.35,54.52,78.72,77.66,83.47,91.59,98.98,90.75,53.17,82.31,84.12,83.01,90.93,110.57,106.81,74.03,101.48,94.71,101.25,114.31,127.87,115.06,84.28,110.03,109.34,113.7,115.78,140.01,123.66,94.65,121.93,119.59,123.39,138.81,159.72,145.52,97.51,NA,NA,143.19,150.37,169.33,166.05,126.36,144.18,149.01,140.33,165.23,195.53,164.07,134.52,155.29,172.9,180.77,182.17,217.6,202.77,139.78,172.65,176.35,179.56,194.19,216.67,213.11,148.29,179.59,183.31,195.69,218.92,258.2,247.93,182.65,211.77,197.8,209.68,240.05,287.84,276.82,192.52,227.37,230.75,232.77,249.04,308.69,298.12,225.99,220.07,226.72,252.08,293.15,305.22,210.64,242.5,249.6,240.33,242.75,271.65,318.4,297.41,237.79,233.39,229.06,261.01,271.45,313.65,306.81,241.28,240.14,235.11,254.95,291.5,340.3,319.94,254.1,252.8,251.69,243.43,266.79,315.54,323.73,236.43,237.36,250.67,246.04,267.64,320.07,316.6,249.65,245.22,239.35,276.93,283.37,328.22,327.15,250.72,258.02,242.98,244.75,287.01,354.93,347.49,220.35,213.95,215.76,209.64,243.62,301.81,275.25,201.81,206.58,208.89,215.36,249.87,374.71,309.73,238.49,321.79,232.21,224.45,250.96,321.19,310.39,206.24,218.32,212.45,217.01,238.13,284.44,263.92
"2243","county","Bingham County","driving","","Idaho","United States",100,96.4,113.56,127.26,164.33,145.34,92.86,132.07,116.47,126.97,125.9,159.57,141.06,92.66,105.59,112.83,113.02,113.07,150.78,153.69,94.07,91.25,116.33,112.73,113.7,150.24,145.97,91.11,116.33,131.78,127.21,146.74,181.2,165.35,94.46,155,130.76,128.38,139.84,165.06,166.42,98.2,122.21,135.57,121.19,159.77,166.91,160.54,110.74,117.1,124.3,124.15,146.45,174.1,167.01,106.32,138.39,132.8,142.08,147.67,171.77,155.44,99.61,131.2,134.4,128.96,137.03,151.6,131.97,84.11,106.95,118.46,103.16,110.98,120.12,95.72,68.51,104.96,108.99,97.42,99.61,110.45,95.34,60.54,99.32,98.15,111.56,121.19,137.61,101.12,57,115.74,115.6,103.64,118.85,152.24,128.18,81.44,128.33,131.54,132.7,167.59,154.42,144.27,99.81,128.23,137.61,143.34,144.85,170.89,153.98,107.19,139.94,150.34,171.04,167.01,188.68,158.75,108.21,NA,NA,160.3,171.57,193.25,194.66,132.94,175.07,192.18,175.8,204.96,236.39,196.11,152.87,197.38,194.36,215.84,208.36,234.94,217.88,154.32,199.51,206.27,215.16,243.34,261.66,245.53,161.66,200.34,207.39,229.01,250.29,288.53,266.62,190.18,259.48,230.9,245.92,284.99,323.71,284.79,212.93,263.56,250.73,263.61,286.1,357.77,327.26,227.45,258.7,241.59,285.91,359.96,337.56,213.46,260.88,287.22,255.83,275.95,330.17,346.31,345.09,234.4,282.8,268.37,281.88,327.16,360.01,315.84,248.64,266.33,274.15,291.89,442.66,368.17,337.27,463.61,284.26,273.57,292.27,313.17,352.14,334.4,298.45,290.48,283.04,301.41,315.06,343.63,330.17,307.05,283.14,296.99,292.03,298.35,361.61,325.17,308.89,281.39,255.78,263.27,295.24,337.12,323.81,215.4,250.87,251.85,268.37,294.7,342.95,306.8,195.48,217.98,223.03,243.97,306.22,752.28,351.36,245.24,519.14,293.88,282.7,346.6,496.65,360.01,219.92,240.57,236.88,251.51,299.32,326.09,286.59
"2247","county","Blaine County","driving","","Idaho","United States",100,109.17,122.2,140.83,188.54,169.3,148.31,159.83,116.1,102.65,129.13,158.08,145.48,132.81,120.27,122.38,128.17,152.71,189.2,177.86,158.14,146.5,127.56,121.05,157.18,187.88,164.84,139.63,126,126.78,156.82,187.21,223.16,250.18,235.46,212.97,178.11,171.17,211.64,201.15,213.09,155.91,138.48,140.83,139.63,175.27,203.2,201.87,167.13,154.4,172.14,169.78,172.8,180.88,180.1,157.36,156.27,142.64,137.45,139.57,162,146.26,115.62,117.85,82.99,96.5,87.09,86.01,71.11,63.81,77.56,65.26,57.84,68.76,66.71,55.25,45.66,60.13,101.63,66.59,69.24,67.07,67.13,49.1,57.48,60.74,75.69,66.89,79.67,54.34,48.67,57.36,65.44,73.94,66.16,76.18,76.66,67.85,73.94,91.44,88.54,110.8,102.96,85.65,75.93,82.27,95.84,97.71,96.38,118.7,95.48,86.19,122.92,120.75,117.79,133.66,159.29,133.41,103.56,NA,NA,121.83,150.48,156.15,115.86,121.65,159.71,134.14,169.6,172.01,196.98,182.57,168.52,179.19,180.64,209.35,220.69,253.68,192.04,191.38,190.89,198.61,228.65,226.18,227.86,203.62,192.7,209.95,230.1,256.03,252.9,275.21,256.09,254.64,240.83,236.01,270.81,280.94,316.04,309.29,265.62,318.64,304.58,318.94,314.96,381.48,340.77,316.22,300.3,313.33,357.84,401.63,419.06,387.03,373.58,372.14,363.51,344.87,405.19,411.58,381.85,347.53,350.72,328.29,362.61,384.44,385.28,384.32,365.62,364.54,366.53,430.7,411.04,457.96,420.69,408.93,354.1,350.97,363.99,391.56,406.21,396.32,380.46,400.78,371.23,382.63,412.73,436.85,429.79,392.04,366.77,372.44,357.18,387.33,431.91,382.39,383.35,332.81,318.76,322.44,371.41,367.73,332.15,301.27,286.91,303.8,288.36,297.47,355.67,331.91,266.53,284.5,269,302.53,337.76,420.21,429.07,409.89,370.21,303.98,310.68,336.25,379.07,376.18,322.74,340.05,306.27,302.77,323.88,343.06,323.04
"2255","county","Bonner County","driving","","Idaho","United States",100,94.55,114.45,105.5,143.15,160.9,138.75,134.55,100.85,108.9,119.65,158.6,154.2,126.3,110.75,114.15,107.15,119.25,130.4,138.6,100.95,111.9,122.85,103.3,117.45,126,143.15,127.6,121.05,116.6,121,131.45,182.75,208.6,169.45,168.55,134.9,125.8,137.6,159.4,168.75,133.7,126.05,125.3,128.65,151.35,154.3,163.35,127.6,123.8,118.3,117.95,137.25,152.25,145.25,121.65,132.15,130.5,112.5,122.7,131,118.6,116,121.05,111.25,125.8,109.3,122.75,113.75,91.55,90.5,88.85,77.6,95.65,83.9,80.85,66.15,73.8,97.8,86.35,86.1,78.45,96.9,70.2,81.55,92.3,94.05,102.75,108.65,98.9,70.35,99.95,94.2,104.45,118.15,130.1,122.45,117.5,115.75,115.55,110.6,106.3,127.8,125.15,128.65,114.35,136.2,139.6,139.05,159.45,170.45,133.9,131.6,141.75,126.15,147.2,190.1,194.4,137.75,NA,NA,146.2,163.65,190.6,196.2,157.4,159.05,177.45,169.1,190.3,226.7,263.5,254.25,214.4,197.8,201.6,216,254.25,244.1,197.6,199.6,204.75,202.8,224.6,262.85,285.5,231.75,221.2,229.45,261.9,263.35,287.45,284.25,251.65,244.65,238.75,262.4,285.2,347.15,364.65,327.25,314.75,307,315.6,331.65,410.35,427.55,344.05,308.25,297.35,329.7,395.45,481.6,444.35,468,410.95,361.95,351,369.25,415.85,481.6,412.75,369,381.25,414.85,377.55,452.05,496,425.5,385,380.45,399.25,402.1,482.8,504.55,450.85,392.5,398.1,410.95,418.5,461.7,539.2,463,404.7,395.95,414.6,418.05,490,479.2,446.95,419.95,381.3,401.35,410.95,469.9,523.4,462.75,383.3,360.95,391.2,391.9,463.75,545.05,436.1,358.7,353.7,353.9,372.9,447.55,462.2,413.25,328.4,334.95,338.3,366.55,499.15,516.3,479.4,476.9,337.2,312,347.1,478.85,615.2,310.8,273,272.1,278.45,296.65,335,358.1
"2256","county","Bonneville County","driving","","Idaho","United States",100,99.93,107.55,106.97,135.83,140.22,63.57,117.84,101.62,105.51,109.56,133.1,130.04,63.66,95.44,96.08,104.9,108.25,128.38,137.21,63.69,99.33,103.23,96.01,103.67,134.4,133.75,69.16,113.24,105.36,112.25,123.24,160.31,146.38,71.97,125.22,106.72,108.67,117.44,135.02,135.14,76.26,109.58,113.4,116.82,118.51,146.22,151.77,75.91,114.66,114.53,116.17,124.58,140.67,138.67,77.08,115.89,115.56,119.13,124.02,143.91,122.17,67.1,108.69,107.91,99.23,106.63,110.94,94.92,57.61,90.06,84.15,82.69,76.78,83.43,72.52,46.73,77.9,81.73,73.16,74.63,85.85,66.99,42.5,76.24,82.53,86.69,91.89,101.93,83.35,44.19,85.79,89.98,88.78,103.76,115.02,103.21,66.12,105.46,105.25,106.45,101.41,124.8,113.88,70.87,110.94,115.42,120.37,116.97,142.86,125.58,82.84,126.56,132.78,133.86,138.56,168.61,151.54,82.97,NA,NA,147.89,147.21,168.47,165.85,100.97,159.4,156.58,167.01,167.83,202.65,165.94,119.51,157.66,177.52,185.99,197.35,216.76,204.83,129.06,187.5,194.93,189.08,198.19,244.31,220.46,122.14,183.89,195.9,195.9,223.32,290.49,275.06,146.23,214.8,200.43,200.71,225.42,278.08,260.96,153.14,224.95,228.96,235.23,249.26,313.2,275.76,168.67,243.91,231.1,254.27,286.41,277.64,192.34,195.43,260.03,236.62,256.44,264.69,289.14,260.39,183.73,249.12,246.08,249.13,268.44,297.78,276.07,193.79,256.48,251.85,254.81,273.73,307.35,274.12,211.91,249.43,236.01,253.38,270.9,287.61,268.25,195.63,244.49,242.58,250.81,266,299.06,286.02,199.71,261.59,248.13,248.84,258.64,290.55,281.28,191.49,241.37,237.25,236.41,253.87,279.32,273.63,169.38,232.49,225.08,230.78,242.26,271.07,262.87,162.12,220.6,225.31,218.63,250.13,288.65,270.7,191.81,240.69,236.4,235.83,293.77,369.14,365.12,180.17,237.74,223.73,230.4,265.5,292.66,313.23
"2382","county","Canyon County","driving","","Idaho","United States",100,102.67,108.01,108.8,130.7,123.03,80.78,103.85,107.34,112.69,112.94,130.98,123.69,75.87,102.68,107.48,113.17,114.75,137.06,130.98,72.35,104.95,110.77,120.48,113.92,142.42,137.45,85.18,111.3,117.92,119.48,127.88,149.23,140.48,86.22,114.1,116.25,118.38,132.97,151.09,153.74,90.17,117.75,122.16,126.35,133.36,162.59,166.66,93.3,121.7,120.25,125.89,143.92,167.62,162.05,97.26,116.97,131.01,125.42,130.61,140.45,123.71,79.7,111.01,106.75,102.67,109.95,119.75,103.53,75.51,92.35,94.51,89.36,79.91,89.82,75.41,55.65,77.82,84.47,83.22,85.01,94.28,79.92,58.69,90.35,89.63,91.01,95.01,107.66,89.08,56.79,89.3,94.87,99.58,104.32,119.4,105.26,84.07,112.76,106.79,112.45,109.42,125.71,118.01,91.93,106.09,120,123.92,117.56,149.04,131.7,99.21,130.02,131.01,128.7,134.58,155.78,141.6,97.25,NA,NA,136.11,141.62,169.38,153.59,111.73,140.69,148.98,140.18,162.42,191.43,162.8,128.22,133.86,161.98,165.76,177.01,199.93,165.91,126.38,163.62,170.05,175.23,182.15,201.63,176.04,126.03,171.11,172.52,179.09,186.87,216.7,190.72,157.74,178.03,177.57,181.41,203.09,236.01,224.08,138.16,185.53,191.79,196.01,207.46,242.13,217.78,155.97,183.59,200.64,204.15,220.73,210.89,162.64,144.73,193.14,191.73,194,206.86,240.32,212.75,148.9,190.58,189.94,194.7,203.74,228.79,205.58,149.67,189.99,192.07,190.39,200.18,229.66,208.83,153.71,185.37,195,201.19,214.81,226.83,206.7,157.23,189.23,195.2,206.31,206.2,226.14,212.48,161.46,193.63,193.57,193.23,200.41,240.59,213.06,148.27,193.09,199.09,196.29,204.45,227.19,211.63,146.77,186.09,193.57,194.01,206.58,237.72,223.91,154.26,186.56,196.51,203.05,214.26,236.1,208.93,154.74,157.88,193.59,196.74,199.71,232.45,232.45,156.85,188.99,192.69,200.15,203.78,244.75,239.02
