"","geo_type","region","transportation_type","alternative_name","sub.region","country","X2020.01.13","X2020.01.14","X2020.01.15","X2020.01.16","X2020.01.17","X2020.01.18","X2020.01.19","X2020.01.20","X2020.01.21","X2020.01.22","X2020.01.23","X2020.01.24","X2020.01.25","X2020.01.26","X2020.01.27","X2020.01.28","X2020.01.29","X2020.01.30","X2020.01.31","X2020.02.01","X2020.02.02","X2020.02.03","X2020.02.04","X2020.02.05","X2020.02.06","X2020.02.07","X2020.02.08","X2020.02.09","X2020.02.10","X2020.02.11","X2020.02.12","X2020.02.13","X2020.02.14","X2020.02.15","X2020.02.16","X2020.02.17","X2020.02.18","X2020.02.19","X2020.02.20","X2020.02.21","X2020.02.22","X2020.02.23","X2020.02.24","X2020.02.25","X2020.02.26","X2020.02.27","X2020.02.28","X2020.02.29","X2020.03.01","X2020.03.02","X2020.03.03","X2020.03.04","X2020.03.05","X2020.03.06","X2020.03.07","X2020.03.08","X2020.03.09","X2020.03.10","X2020.03.11","X2020.03.12","X2020.03.13","X2020.03.14","X2020.03.15","X2020.03.16","X2020.03.17","X2020.03.18","X2020.03.19","X2020.03.20","X2020.03.21","X2020.03.22","X2020.03.23","X2020.03.24","X2020.03.25","X2020.03.26","X2020.03.27","X2020.03.28","X2020.03.29","X2020.03.30","X2020.03.31","X2020.04.01","X2020.04.02","X2020.04.03","X2020.04.04","X2020.04.05","X2020.04.06","X2020.04.07","X2020.04.08","X2020.04.09","X2020.04.10","X2020.04.11","X2020.04.12","X2020.04.13","X2020.04.14","X2020.04.15","X2020.04.16","X2020.04.17","X2020.04.18","X2020.04.19","X2020.04.20","X2020.04.21","X2020.04.22","X2020.04.23","X2020.04.24","X2020.04.25","X2020.04.26","X2020.04.27","X2020.04.28","X2020.04.29","X2020.04.30","X2020.05.01","X2020.05.02","X2020.05.03","X2020.05.04","X2020.05.05","X2020.05.06","X2020.05.07","X2020.05.08","X2020.05.09","X2020.05.10","X2020.05.11","X2020.05.12","X2020.05.13","X2020.05.14","X2020.05.15","X2020.05.16","X2020.05.17","X2020.05.18","X2020.05.19","X2020.05.20","X2020.05.21","X2020.05.22","X2020.05.23","X2020.05.24","X2020.05.25","X2020.05.26","X2020.05.27","X2020.05.28","X2020.05.29","X2020.05.30","X2020.05.31","X2020.06.01","X2020.06.02","X2020.06.03","X2020.06.04","X2020.06.05","X2020.06.06","X2020.06.07","X2020.06.08","X2020.06.09","X2020.06.10","X2020.06.11","X2020.06.12","X2020.06.13","X2020.06.14","X2020.06.15","X2020.06.16","X2020.06.17","X2020.06.18","X2020.06.19","X2020.06.20","X2020.06.21","X2020.06.22","X2020.06.23","X2020.06.24","X2020.06.25","X2020.06.26","X2020.06.27","X2020.06.28","X2020.06.29","X2020.06.30","X2020.07.01","X2020.07.02","X2020.07.03","X2020.07.04","X2020.07.05","X2020.07.06","X2020.07.07","X2020.07.08","X2020.07.09","X2020.07.10","X2020.07.11","X2020.07.12","X2020.07.13","X2020.07.14","X2020.07.15","X2020.07.16","X2020.07.17","X2020.07.18","X2020.07.19","X2020.07.20","X2020.07.21","X2020.07.22","X2020.07.23","X2020.07.24","X2020.07.25","X2020.07.26","X2020.07.27","X2020.07.28","X2020.07.29","X2020.07.30","X2020.07.31","X2020.08.01","X2020.08.02","X2020.08.03","X2020.08.04","X2020.08.05","X2020.08.06","X2020.08.07","X2020.08.08","X2020.08.09","X2020.08.10","X2020.08.11","X2020.08.12","X2020.08.13","X2020.08.14","X2020.08.15","X2020.08.16","X2020.08.17","X2020.08.18","X2020.08.19","X2020.08.20","X2020.08.21","X2020.08.22","X2020.08.23","X2020.08.24","X2020.08.25","X2020.08.26","X2020.08.27","X2020.08.28","X2020.08.29","X2020.08.30","X2020.08.31","X2020.09.01","X2020.09.02","X2020.09.03","X2020.09.04","X2020.09.05","X2020.09.06","X2020.09.07","X2020.09.08","X2020.09.09","X2020.09.10","X2020.09.11","X2020.09.12","X2020.09.13","X2020.09.14","X2020.09.15","X2020.09.16","X2020.09.17","X2020.09.18","X2020.09.19"
"335","city","Davenport","driving","","Iowa","United States",100,106.05,100.05,112.18,99.38,94.43,89.58,104.19,102.64,99.29,98.76,116.91,134.72,91.41,97.64,101.83,101.45,111.16,126.01,143.87,94.75,105.47,104.51,103.44,110.13,124.18,138.58,95.77,101.2,106.52,104.16,123.54,149.57,147.62,111.39,112.09,110.56,107.7,112.02,137.72,150.76,106.76,108.59,104.4,112.68,121.81,149.4,156.82,112.33,111.73,118.26,119.58,122.01,149.71,153.16,110.71,107.39,116.13,115.73,117.77,138.19,119.15,89.19,93.36,90.77,78.97,78.7,86.15,71.34,50.24,66.46,70.3,72.6,70.33,76.69,68.22,56.02,75.02,73.69,76.73,77.72,84.76,74.44,63.2,75.78,79.45,79.41,83.61,99.41,80.07,50.07,80.62,87.35,90.01,94.48,95.72,97.59,78.48,98.44,97.51,97.69,103.53,105.9,95.22,85.75,98.53,102.35,97.28,114.11,127.2,112.12,91.07,107.33,102.75,115.85,119.69,137.86,131.45,89.34,NA,NA,125.8,123.99,156.89,140.84,108.01,133.24,144.13,145.04,152.31,175.18,153.39,126.89,116.65,150.2,152.73,152.14,179.27,165.81,133.18,125.89,145.19,147.79,163.64,186.78,178.76,144.05,162.56,152.23,164.5,175.35,203.59,205.53,164.68,171.17,174.45,178.73,181.41,209.47,214.69,152.08,161.27,179.95,181.59,190.56,211.46,217.31,166.07,171.29,175.37,182.54,199.94,204.4,158.58,150.11,174.54,177.41,179.76,180.21,218.08,205.74,173.59,175.66,180.64,166.57,194.52,220.04,208.45,161.67,168.04,170.96,183.52,189.09,220.72,213.48,168.9,171.31,185.02,182.57,187.97,209.23,201.65,157.98,175,184.24,182.92,191.26,215.31,205.85,164.12,155.94,168.85,192.8,205.08,239.2,221.54,194.8,187.76,183.7,186.04,191.38,219.94,205.7,157.97,171.11,172.27,175.62,178.5,201.39,202.81,152.65,162.41,165.61,177.08,181.28,213.93,199.11,147.92,140.7,148.72,157.65,161.69,194.57,205.45,151.57,163.11,169.38,169.86,177.31,203.67,206.96
"336","city","Davenport","walking","","Iowa","United States",100,123.7,105.75,112.76,104.17,136.14,93.23,103.94,108.74,100.08,121.97,127.48,184.17,104.17,99.76,109.21,115.51,129.13,155.43,201.1,124.33,131.18,106.3,106.06,126.61,140.47,186.77,109.76,107.24,110.39,116.38,176.22,170.87,188.66,127.48,116.46,115.43,112.68,121.97,157.4,203.94,137.48,108.03,105.43,124.25,138.5,202.83,204.88,129.84,129.69,126.85,139.13,131.57,172.52,215.67,138.74,114.41,121.02,138.03,139.76,149.61,179.76,91.73,101.73,124.02,83.54,99.21,102.2,82.91,57.56,79.53,92.13,88.19,86.14,92.76,88.11,71.26,118.19,96.06,104.88,96.77,112.6,96.93,86.85,104.25,131.57,119.69,113.46,140.08,105.2,65.98,98.03,101.42,94.65,114.57,113.62,135.35,103.07,130.39,133.46,115.75,137.87,116.69,111.02,105.04,127.64,125.67,116.85,146.69,157.64,140.94,127.95,129.61,119.37,153.46,150.24,167.72,155.91,105.98,NA,NA,155.98,157.09,207.4,193.62,135.2,168.66,185.91,184.33,195.91,230.71,217.87,158.66,152.99,226.93,204.57,218.35,243.46,245.59,164.88,182.83,176.38,183.15,224.25,238.35,231.73,180.71,203.15,190.79,205.91,224.33,278.74,300.31,202.68,213.54,228.19,225.04,209.84,260.63,265.75,179.61,181.1,227.24,231.26,276.3,284.96,319.69,188.58,222.36,229.06,230.79,258.66,270.47,241.02,181.18,211.81,226.38,216.93,222.68,294.8,265.12,204.09,228.9,237.8,200.87,258.5,291.5,288.58,188.9,224.96,219.53,245.59,238.5,293.23,287.4,200.71,218.43,235.43,245.98,240.39,270.71,289.53,182.99,230.08,238.27,236.77,252.2,286.3,284.09,191.18,181.57,231.1,259.69,269.69,354.88,343.54,268.43,251.89,248.74,255.75,280.63,292.52,312.68,234.41,231.65,262.6,260.79,227.64,316.61,314.41,200,240,223.7,227.48,243.86,289.21,257.95,196.22,172.99,186.54,203.94,206.54,246.3,278.11,197.24,221.65,208.58,236.69,221.02,272.83,302.99
"347","city","Des Moines","driving","","Iowa","United States",100,105.62,101.79,110.37,68.27,90.3,78.9,99.49,100.9,91.53,102.76,117.12,129.09,86.83,96.16,107.25,108.45,117.15,128,136.72,94.61,108.51,103.89,102.64,110.74,120.71,135.42,92.41,98.06,105.18,102.87,99.93,138.48,143.4,97.2,102.08,102.75,108.22,123.98,151.58,153.07,100.11,99.06,107.44,109.97,114.76,143.41,155.61,104.28,107.95,113.71,117.63,120.82,150.47,163.08,109.01,108.14,115.18,111.49,111.87,126.74,105.53,75.96,81.38,77.72,67.6,64.39,74.82,64.89,44.99,62.07,62.74,64.5,66.84,71.39,60.83,50.28,68.8,70.47,70.6,67.43,67.78,66.64,54.52,65.97,74.84,71.11,69.72,83.5,67.31,37.08,68.57,71.47,73.38,74.24,84.24,82.62,67.6,81.62,84.07,85.45,90.9,96.76,92.24,74.62,91.66,88.28,89.94,100.54,121.94,97.82,82.86,91.1,90.25,99.52,101.47,119.82,109.53,76.89,NA,NA,102.59,105.95,141.44,120.5,93.54,114.68,123.28,123.67,131.58,147.32,130.04,101.89,98.85,119.94,132.16,137.7,163.23,142.52,109.89,130.72,136.76,139.06,145.43,165.22,154.99,121.03,143.24,132.66,138.2,159.07,180.41,172.9,132.39,149.61,154.93,157.32,162.46,181.81,178.57,126.83,144.57,160.17,166.92,171.3,192.63,192.19,147.88,159.92,162.89,170.27,179.97,172.09,134.3,127.38,160.3,163.69,173.43,182.74,213.68,203.74,154.68,160.33,156.09,161.08,180.15,199.94,193.05,150.79,155.85,159.77,168.67,177.19,204.91,197.91,145.77,167.62,169.31,171.53,177.08,200.03,194.54,148.64,167.88,168.72,168.47,167.92,211.08,199.6,151.6,153.79,181.9,182.95,187.69,212.07,198.27,149.95,161.73,161.32,166.92,173.07,201.53,196.31,144.83,151.59,153.58,154.76,154.33,184.33,182.37,135.88,145.17,150.22,154.28,162.95,191.84,179.59,137.54,126.24,134.93,137.97,144.99,169.15,174.47,141.99,147.15,150.27,154.73,161.37,189.51,193.65
"348","city","Des Moines","walking","","Iowa","United States",100,110.6,101.72,102.75,79.76,106.61,75.88,90.31,98.38,94.15,107.52,123.09,150.55,80.75,90.95,107.67,108.43,135.41,149.64,197.91,138.65,152.13,106.34,104.18,123.09,118.88,159.4,84.21,96.58,102.19,96.66,90.24,134.18,183.26,98.6,91.37,96.78,111.7,139.81,230.27,246.52,106.96,93.09,103.25,108.56,110.15,145.76,204.67,106.57,104.23,115.64,128.79,125.03,178.26,224.37,116.3,95.5,115.27,116.38,103.2,125.92,115.79,68.65,75.17,71.55,56.06,58.69,65.82,63.46,41.48,59.72,64.35,62.26,69.19,64.99,62.45,59.09,79.08,78.04,80.01,69.66,62.77,70.67,62.95,71.48,86.23,74.65,63.14,80.3,69.14,34.92,72.02,69.71,63.29,68.38,80.85,85.15,76.2,85.84,86.97,89.77,91.07,87.24,97.69,79.71,96.75,82,80.5,95.16,126.58,98.52,86.57,87.29,84.39,98.97,91.62,110.65,102.66,70.35,NA,NA,99.61,109.34,154.76,133.59,94.17,117.48,126.31,123.53,143.99,148.96,147.09,111.97,105.78,129.83,153.75,157.12,203.76,194.1,135.65,152.52,160.86,166.34,171.01,188.79,183.5,128.45,164.2,136.02,144.6,175.83,202.58,208.66,143.2,152.72,166.76,167.89,164.18,209.2,210.67,134.92,142.66,169.49,180.92,179.62,213.74,232.92,148.86,175.76,168.72,181.46,188.05,183.89,163.73,134.72,171.38,177.26,202.56,233.78,277.4,260.04,163.61,182.86,178.14,174.65,216.79,246.5,247.11,159.28,161.74,171.63,191.79,208.9,241.06,245.51,150.38,173.89,192.8,181.73,198.01,242.66,238.11,152.91,174.82,186.62,185.98,177.35,247.63,238.92,155.82,160.31,192.87,199.09,210.55,236.19,258.22,164.08,175.83,180.3,174.72,187.04,243.45,261.37,161.54,159.36,174.45,166.93,165.8,203.02,222.87,147.23,152.94,161.62,171.67,178.73,218.71,228.84,160,145.29,142.71,141.95,156.92,190.48,218.44,154.07,162.04,167.54,174.82,180.16,233.02,247.65
"2060","county","Adair County","driving","","Iowa","United States",100,94.58,106.47,118.97,74.74,79.37,85.75,106.21,104.28,81.47,88.99,120.28,142.48,112.33,96.68,100.52,100.61,110.66,149.91,136.19,87.24,85.14,110.93,102.8,110.4,131.12,141.43,113.72,101.75,124.83,114.77,99.3,166.7,160.23,108.57,112.67,115.56,110.66,120.89,176.84,152.27,126.14,94.49,98.69,102.62,116.08,154.2,146.42,124.04,106.38,122.99,128.5,148.43,187.94,172.38,140.47,111.1,126.66,125.7,130.86,170.02,133.65,138.37,125.79,135.31,129.63,111.19,120.72,110.4,95.89,80.77,81.99,78.76,79.28,91.87,90.47,72.47,73.34,78.76,82.6,81.91,85.66,77.88,70.54,72.73,66.87,78.15,85.75,95.63,70.37,44.49,68.88,67.31,70.1,66.78,90.65,89.07,79.02,84,86.71,86.8,94.14,110.93,108.57,85.4,87.15,91.52,97.2,101.66,120.1,124.56,108.74,88.9,100.35,103.93,109.97,146.15,130.59,108.39,NA,NA,116.17,128.41,156.99,139.86,143.01,110.14,122.2,140.03,152.88,187.5,177.88,151.22,149.83,131.91,140.3,150.87,175.09,179.37,165.91,167.66,144.14,150.17,178.23,203.85,185.66,166.78,161.54,144.41,168.01,177.27,223.43,215.12,186.8,153.5,178.41,157.95,209.09,250.7,230.42,191.61,184.27,184.88,213.72,236.71,266.52,289.16,248.16,205.51,209.09,247.29,255.86,267.4,180.42,259,228.93,198.95,215.3,245.8,282.43,274.21,249.48,191.61,176.14,209.97,217.31,286.1,256.64,301.14,195.72,206.38,201.84,239.77,282.17,277.27,263.46,202.45,197.81,218.01,227.8,288.11,308.39,267.48,228.41,223.51,200.7,242.57,300.44,303.15,293.18,211.19,202.27,229.2,242.48,316.7,311.1,260.14,199.65,185.84,192.92,196.33,253.41,234.97,209.18,177.01,155.59,173.43,180.68,232.69,266.52,202.36,186.89,164.69,169.93,182.52,296.68,242.48,199.04,227.1,188.2,152.71,187.41,249.56,257.78,200.09,160.66,164.6,174.56,185.66,229.46,226.49
"2213","county","Benton County","driving","","Iowa","United States",100,117.09,93.56,132,86.41,70.66,84.59,106.02,131.16,93.84,106.79,131.44,198.11,109.59,121.01,121.85,111.13,118.7,162.46,143.49,107.77,111.9,113.8,116.25,137.46,145.8,170.31,105.39,110.43,119.61,107.21,111.41,155.74,185.78,125.49,122.62,118.42,131.02,136.48,157.14,167.44,127.03,117.65,113.87,119.19,131.86,173.74,180.04,129.76,115.34,127.24,129.2,125.42,163.52,195.52,132.63,128.36,118.98,122.97,127.38,144.05,131.65,96.78,114.5,102.66,101.96,92.02,106.09,98.04,71.01,92.51,97.2,92.72,82.98,98.67,74.37,59.03,95.1,96.92,100.42,96.85,94.61,93.56,83.68,97.62,104.2,117.51,100.49,112.18,89.22,53.64,102.52,96.15,110.85,109.24,99.86,95.8,79.41,114.64,108.54,112.11,115.76,114.64,108.89,96.57,132.84,115.69,108.4,148.74,163.8,131.51,97.69,143,112.32,126.4,136.55,157.28,148.25,87.46,NA,NA,136.55,141.46,182.35,136.2,114.99,161.2,155.88,171.57,187.46,214.57,171.36,140.55,142.72,171.57,187.04,179.06,210.43,176.54,146.08,151.68,166.74,178.57,204.48,217.93,229.83,188.03,183.26,159.31,189.92,221.57,261.76,273.46,200.7,197.13,195.73,225.49,221.85,223.39,235.5,192.65,177.45,220.8,244.26,264.92,241.95,302.38,239.01,211.06,216.6,212.11,243.35,254.13,193.77,191.04,228.36,207.14,226.68,205.11,261.48,259.45,235.57,213.17,198.32,210.85,242.16,254.34,268.35,234.24,204.9,192.37,213.1,225.98,264.43,281.16,200.63,201.96,207.7,243.77,219.47,294.68,268.07,231.86,204.48,219.4,243.49,241.46,284.87,279.2,268.77,269.4,384.17,239.5,263.8,300.07,282.42,248.88,301.4,293,278.71,287.68,326.12,279.97,212.96,227.8,251.68,245.59,249.79,284.24,242.16,195.59,201.89,228.64,229.34,246.78,305.81,266.25,190.9,185.99,199.16,192.16,208.05,265.48,229.41,199.02,223.46,203.78,215.48,220.31,263.31,272.97
"2244","county","Black Hawk County","driving","","Iowa","United States",100,105.51,98.63,115.31,76.23,85.59,89.62,107.89,105.49,95.85,104.33,127.68,145.41,101.34,101.67,103.82,106.95,115.29,137.43,143.71,93.69,108.03,103.17,107.46,114.41,135.12,138.52,92.03,103.09,109.54,104.94,111.62,146.2,139.32,102.92,105.07,106.99,107.29,115.49,138.98,144.45,106.1,105.17,112.62,115.34,121.99,148.15,151.64,111.71,110.47,115.69,117.61,121.04,156.05,169.35,118.87,117.56,119.3,114.57,119.07,142.68,110.35,84.64,86.35,81.47,76.17,74.38,85.28,69.11,51.74,65.99,68.24,68.14,71.13,77.14,60.53,48.72,75.56,74.17,70.92,75.11,78.76,69.01,58.89,69.97,78.9,70.69,78.37,82.43,72.02,39.21,73.31,75.37,85.04,83.24,85.93,74.74,60.85,81.65,79.66,83.54,89.01,90.23,82.3,69.05,85.79,84.7,87.52,99.11,115.22,94.69,80.65,95.84,93.51,98.87,102.22,119.3,109.08,76.57,NA,NA,108.9,113.19,139.43,118.25,95.44,121.17,126.18,133.64,133.21,158.93,125.83,104.33,107.32,134.67,135.07,139.26,171.27,153.34,119.9,137.37,143.28,145.84,155.96,169.36,157.71,131.48,150.06,134.15,146.91,166.17,193.67,182.31,141.18,157.04,155.77,164.21,169.34,181.81,168.78,134.69,146.83,172.46,178.1,180.06,199.12,201,148.57,164.17,163.51,165.06,174.32,168.91,130.03,130.31,166.35,165.9,172.4,173.14,204.68,183.8,153.92,168.05,161.65,160.15,178.59,202.08,193.87,156.45,161.16,160.46,165.53,178.19,204.66,196.66,154,169.15,169,170.96,182.66,201.85,197.9,157.18,182.94,175.71,174.74,183.71,215.24,199.3,156.19,155.09,203.36,215.22,225.14,266.43,242.26,199.53,199.27,195.02,190.35,206.87,240.31,219.53,175.48,177.41,175.32,178.42,184.75,221.13,198.12,151.02,165.19,165.07,169.86,186.19,221.55,203.03,151.82,146.5,158.61,155.57,171.97,205.69,198.74,156.82,162.16,167.3,166.32,185.01,218.83,212.44
"2257","county","Boone County","driving","","Iowa","United States",100,111.06,103.64,116.79,52.38,61.14,84.43,115.98,109.63,84.33,107.94,126.73,169.79,115.36,112.95,102.71,122.53,122.38,131.08,165.08,102.76,107.94,102.36,111.42,121.2,123.96,160.06,101.33,101.13,123.4,101.38,94.27,137.12,159.91,117.92,107.37,108.24,108.55,125.5,149.05,216.08,159.45,102.66,115.21,100.61,120.48,151.25,187.71,129.08,114.9,124.48,125.4,128.78,156.17,184.02,131.18,117.46,118.54,119.51,110.55,142.04,116.39,88.94,84.43,98.16,76.19,77.68,95.95,92.06,59.24,81.26,77.78,89.2,85,88.48,68.82,82.9,103.84,98.87,114.75,90.22,77.16,90.12,107.27,87.61,130.82,85.97,82.95,117.46,78.9,37.58,86.64,83.15,86.94,86.99,106.04,111.57,116.9,114.13,122.94,119.66,150.23,117.77,166.77,152.02,135.84,104.3,115.92,161.5,166.21,173.78,148.59,104.35,101.08,128.26,136.82,159.96,176.8,108.29,NA,NA,124.99,146.13,215.67,151.77,120.38,137.74,161.19,159.4,173.43,195.29,209.47,155.81,159.14,146.65,168.2,163.44,203.02,224.78,161.6,164.72,155.45,169.23,175.27,205.99,207.32,192.63,178.85,152.94,152.84,200.51,242.55,287.66,217.51,186.12,186.58,206.55,201.74,217.41,223.09,198.26,167.18,207.73,198.82,214.39,232.62,254.12,192.73,182.59,202.1,198.82,211.62,219.41,200.1,176.09,179.47,184.49,193.19,190.22,245.37,266.82,219.35,201.59,179.06,183.21,221.4,260.47,260.88,226.47,177.78,179.72,207.89,193.34,239.48,249.67,181.62,192.68,214.9,214.44,205.43,230.52,270.92,209.68,204.2,214.44,212.29,212.8,251.61,255.86,203.64,233.64,250.28,215.36,257.04,271.84,303.69,258.53,243.83,235.94,220.28,230.16,243.47,277.01,207.73,199.33,195.7,191.19,209.01,252.38,285.66,193.86,179.57,203.48,190.27,197.24,261.96,284.79,240.4,213.21,205.22,186.23,206.61,261.85,230.77,233.79,183,189.04,199.54,195.19,244.6,269.02
"2285","county","Bremer County","driving","","Iowa","United States",100,112.64,92.69,127.65,79.15,76.07,114.3,133.03,113.34,87.56,112.44,182.1,199.42,125.4,116.68,127.2,108.6,116.16,152.85,174.41,122.58,112.57,117.38,130.72,118.92,159.08,181.53,129.19,112.83,135.79,129.31,101.09,159.72,195.13,137.52,122.26,119.95,111.74,125.66,160.68,165.43,118.28,116.93,123.8,114.62,141.05,171.65,191.4,122.58,110.71,135.98,115.07,119.37,168.44,187.62,133.03,124.57,132.78,111.61,114.3,143.62,123.03,105.2,111.48,101.73,99.17,88.84,95.57,77.04,63.69,74.6,75.63,78.9,84.73,88.58,63.31,54.07,81.21,70.17,82.23,81.85,80.95,82.3,69.28,69.4,87.62,78.64,79.35,89.1,80.69,39.83,66.26,86.02,82.36,93.33,99.23,84.03,76.72,85.5,91.85,90.38,94.74,100.77,89.42,85.7,96.47,94.1,102.5,97.43,141.95,112.06,99.62,111.74,103.98,119.31,122.58,138.36,125.08,93.84,NA,NA,126.04,126.23,162.28,128.86,107.18,147.02,148.94,151.76,141.89,175.88,153.94,122.58,126.49,139.38,154.52,151.64,174.21,173.7,148.11,136.11,158.76,156.83,160.49,193.26,159.46,136.18,157.92,135.92,176.65,192.17,221.55,191.85,158.95,183.84,176.33,175.5,193.71,210.84,199.36,156.51,148.56,166.58,182.49,204.43,232.65,265.49,185.76,180.44,187.75,194.68,206.93,201.99,142.14,163.25,198.46,198.72,200.06,189.93,234.7,219.37,185.05,190.7,174.09,174.73,195.25,228.74,206.67,185.63,179.79,191.28,179.79,197.82,234.7,215.65,174.79,173.19,186.53,210.2,187.88,224.76,216.16,164.66,182.68,178.13,170.88,198.85,212.7,190.57,171.71,142.66,176.52,201.6,191.92,222.58,202.76,186.34,180.56,189.35,199.81,200.58,223.86,232.33,212.12,185.95,186.34,171.58,180.18,244.77,249.45,169.4,174.41,171.58,182.3,188.2,270.11,220.72,188.2,175.37,182.36,154.46,188.97,240.8,241.44,181.46,165.43,177.55,167.29,202.69,227.84,235.21
"2316","county","Buchanan County","driving","","Iowa","United States",100,106.12,90.19,119.28,77.95,72,92.79,117.69,108.63,86.09,94.97,128.58,160.44,107.71,96.14,109.47,103.94,116.43,135.46,151.97,99.83,98.58,97.65,121.37,113.33,146.77,184.49,98.32,98.24,120.62,103.44,97.07,145.18,161.36,117.27,110.56,106.62,108.63,134.45,158.01,167.9,123.3,108.38,119.03,107.54,120.7,147.19,168.99,112.49,112.15,113.5,112.07,114.59,158.17,182.31,120.87,108.13,99.58,120.2,105.7,147.61,125.65,91.45,94.97,91.87,92.2,94.38,100.67,84.33,66.47,84.83,82.4,82.82,82.23,86.09,78.79,64.29,90.44,90.28,95.56,79.13,88.68,80.3,69.24,86.17,91.37,87.34,100.17,99.41,82.48,53.9,85.33,97.82,108.47,103.86,106.62,103.52,79.97,93.04,96.23,104.36,99.75,115.09,114.67,102.77,105.95,90.19,103.27,122.63,132.77,144.93,123.13,118.02,103.27,110.48,130.43,158.34,161.27,98.24,NA,NA,137.22,141.24,183.4,156.08,120.79,132.44,138.98,147.86,162.7,199.33,175.19,144.76,168.15,150.38,158.84,163.62,201.59,183.74,147.69,140.65,153.9,145.68,165.3,188.52,211.99,172.59,163.2,148.53,156.41,191.2,257.25,242.67,198.24,191.37,184.74,203.52,187.68,211.4,221.37,193.96,165.97,186.5,181.73,201.93,239.82,263.7,201.01,186.76,173.01,206.96,265.38,243.76,211.74,204.27,202.35,207.96,216.51,197.65,294.8,285.08,243.92,208.38,188.35,186.5,224.98,287.51,261.53,205.87,196.06,183.07,209.3,204.02,266.81,304.61,229.17,193.96,209.97,219.53,239.56,260.35,286.76,223.39,190.86,179.21,215.59,217.6,272.09,240.65,208.55,205.45,311.15,219.61,224.64,259.01,269.24,212.07,213.16,191.53,194.97,193.71,266.47,239.56,206.45,179.21,173.01,169.66,183.24,255.83,262.45,198.16,168.23,172.09,171,199.25,279.55,267.73,201.93,186.92,150.71,150.88,163.62,206.45,238.14,188.94,161.94,184.24,169.07,193.88,257.59,256.41
