"","geo_type","region","transportation_type","alternative_name","sub.region","country","X2020.01.13","X2020.01.14","X2020.01.15","X2020.01.16","X2020.01.17","X2020.01.18","X2020.01.19","X2020.01.20","X2020.01.21","X2020.01.22","X2020.01.23","X2020.01.24","X2020.01.25","X2020.01.26","X2020.01.27","X2020.01.28","X2020.01.29","X2020.01.30","X2020.01.31","X2020.02.01","X2020.02.02","X2020.02.03","X2020.02.04","X2020.02.05","X2020.02.06","X2020.02.07","X2020.02.08","X2020.02.09","X2020.02.10","X2020.02.11","X2020.02.12","X2020.02.13","X2020.02.14","X2020.02.15","X2020.02.16","X2020.02.17","X2020.02.18","X2020.02.19","X2020.02.20","X2020.02.21","X2020.02.22","X2020.02.23","X2020.02.24","X2020.02.25","X2020.02.26","X2020.02.27","X2020.02.28","X2020.02.29","X2020.03.01","X2020.03.02","X2020.03.03","X2020.03.04","X2020.03.05","X2020.03.06","X2020.03.07","X2020.03.08","X2020.03.09","X2020.03.10","X2020.03.11","X2020.03.12","X2020.03.13","X2020.03.14","X2020.03.15","X2020.03.16","X2020.03.17","X2020.03.18","X2020.03.19","X2020.03.20","X2020.03.21","X2020.03.22","X2020.03.23","X2020.03.24","X2020.03.25","X2020.03.26","X2020.03.27","X2020.03.28","X2020.03.29","X2020.03.30","X2020.03.31","X2020.04.01","X2020.04.02","X2020.04.03","X2020.04.04","X2020.04.05","X2020.04.06","X2020.04.07","X2020.04.08","X2020.04.09","X2020.04.10","X2020.04.11","X2020.04.12","X2020.04.13","X2020.04.14","X2020.04.15","X2020.04.16","X2020.04.17","X2020.04.18","X2020.04.19","X2020.04.20","X2020.04.21","X2020.04.22","X2020.04.23","X2020.04.24","X2020.04.25","X2020.04.26","X2020.04.27","X2020.04.28","X2020.04.29","X2020.04.30","X2020.05.01","X2020.05.02","X2020.05.03","X2020.05.04","X2020.05.05","X2020.05.06","X2020.05.07","X2020.05.08","X2020.05.09","X2020.05.10","X2020.05.11","X2020.05.12","X2020.05.13","X2020.05.14","X2020.05.15","X2020.05.16","X2020.05.17","X2020.05.18","X2020.05.19","X2020.05.20","X2020.05.21","X2020.05.22","X2020.05.23","X2020.05.24","X2020.05.25","X2020.05.26","X2020.05.27","X2020.05.28","X2020.05.29","X2020.05.30","X2020.05.31","X2020.06.01","X2020.06.02","X2020.06.03","X2020.06.04","X2020.06.05","X2020.06.06","X2020.06.07","X2020.06.08","X2020.06.09","X2020.06.10","X2020.06.11","X2020.06.12","X2020.06.13","X2020.06.14","X2020.06.15","X2020.06.16","X2020.06.17","X2020.06.18","X2020.06.19","X2020.06.20","X2020.06.21","X2020.06.22","X2020.06.23","X2020.06.24","X2020.06.25","X2020.06.26","X2020.06.27","X2020.06.28","X2020.06.29","X2020.06.30","X2020.07.01","X2020.07.02","X2020.07.03","X2020.07.04","X2020.07.05","X2020.07.06","X2020.07.07","X2020.07.08","X2020.07.09","X2020.07.10","X2020.07.11","X2020.07.12","X2020.07.13","X2020.07.14","X2020.07.15","X2020.07.16","X2020.07.17","X2020.07.18","X2020.07.19","X2020.07.20","X2020.07.21","X2020.07.22","X2020.07.23","X2020.07.24","X2020.07.25","X2020.07.26","X2020.07.27","X2020.07.28","X2020.07.29","X2020.07.30","X2020.07.31","X2020.08.01","X2020.08.02","X2020.08.03","X2020.08.04","X2020.08.05","X2020.08.06","X2020.08.07","X2020.08.08","X2020.08.09","X2020.08.10","X2020.08.11","X2020.08.12","X2020.08.13","X2020.08.14","X2020.08.15","X2020.08.16","X2020.08.17","X2020.08.18","X2020.08.19","X2020.08.20","X2020.08.21","X2020.08.22","X2020.08.23","X2020.08.24","X2020.08.25","X2020.08.26","X2020.08.27","X2020.08.28","X2020.08.29","X2020.08.30","X2020.08.31","X2020.09.01","X2020.09.02","X2020.09.03","X2020.09.04","X2020.09.05","X2020.09.06","X2020.09.07","X2020.09.08","X2020.09.09","X2020.09.10","X2020.09.11","X2020.09.12","X2020.09.13","X2020.09.14","X2020.09.15","X2020.09.16","X2020.09.17","X2020.09.18","X2020.09.19"
"642","city","New Orleans","driving","","Louisiana","United States",100,80.26,63.74,68.61,84.95,88.71,63,60.22,60.68,61.4,62.69,81.09,83.39,51.94,59,60.12,59.07,63.41,82.41,87.13,54.75,59.33,62.9,58.68,64.3,89.24,93.57,71.63,63.53,65.53,67.05,75.07,111.21,110.41,71.57,69.66,73.39,84.26,80.64,144.04,177.3,141.45,107.75,128.99,81.98,73.8,86.86,89.54,66.88,67.54,69.74,66.08,76.89,94.49,99.39,73.09,72.81,71.42,72.05,72.42,78.69,72.46,49.48,47.78,40.09,37.51,35.75,37.22,27.01,20.82,25.97,25.02,26.58,26.85,28.83,24.48,20.14,25.65,26.73,27.29,27.27,30.12,24.9,20.67,26.94,27.12,28.26,29.5,31.3,27.48,17.78,29.2,29.46,32.5,33.15,35.95,29.12,24.53,35.54,34.34,34.14,32.9,40.28,34.59,28.13,35.5,36.42,34.13,40.71,45.16,40.29,31.78,39.98,43.7,42.71,44.37,46.16,45.16,34.9,NA,NA,47.58,46.01,52.42,50.01,40.25,52.52,55.1,56.36,58.75,66.1,56.74,46.1,44.78,52.41,58.12,60.3,65.03,61.35,48.04,57.27,59.73,59.35,63.83,69.67,54.93,28.53,44.12,60.9,59.64,67.75,76.32,73.55,54.98,63.13,66.41,68.62,69.71,80.38,75.29,50.94,57.88,63.79,59.57,69.59,78.79,74.38,57.46,66.12,69.57,70.77,72.82,72.63,58.05,51.17,60.72,65.74,70.82,72.79,82.22,77.74,57.69,64.58,67.55,66.3,66.18,80.67,76,54.37,65.3,68.54,68.79,67.67,73.83,72.58,52.52,62.08,65.94,70.82,74.5,81.74,79.75,58.41,71.21,72.11,73.45,75.25,85.36,80.13,61.32,72.05,72.3,73.02,74.62,87.5,84.66,64.72,70.61,70.72,70.61,72.04,85.67,83.05,57.25,43.53,51.07,52.7,51.21,77.65,76.07,57.81,68.07,74.25,75.74,78,90.86,87.08,69.91,59.49,68.57,70.92,77.06,83.89,80.1,60.87,56.72,46.48,65.45,73.02,85.29,76.81
"643","city","New Orleans","transit","","Louisiana","United States",100,87.11,81.97,89,103.68,108.13,84.37,79.55,82.56,79.48,78.34,95.11,99.56,66.41,77.52,77.45,74.08,82.31,98.52,102.71,77.38,81.51,76.43,74.51,80.08,106.67,118.44,89.28,88.25,85.07,90.82,92.72,112.32,111.48,80.7,103.4,94.43,102.85,87.34,141.63,159.68,127.96,115.59,123.12,102.6,98.9,104.98,104.65,85.33,95.59,92.56,89.93,97.53,118.65,118.73,109.67,112.07,110.93,103.97,99.13,87.68,79.73,58.15,54.5,40.46,34.62,31.19,26.77,20.65,18.6,20.79,20.9,21.38,19.15,22.13,20.74,18.03,18.9,20.33,19.51,18.03,18.87,17.43,15.57,19.94,18.69,18.99,20.65,20.54,17.68,15.59,21.36,17.85,18.74,21.63,20.22,18.16,17.75,20.77,22.32,21.04,19.67,23.75,21.73,18.74,23.12,22.07,19.01,22.75,23.71,23.3,18.23,22.09,21.59,23.03,25.1,20.43,21.7,19.35,NA,NA,25.97,25.53,27.73,26.72,23.09,30.12,29.01,30.3,31.26,32.18,29.26,23.98,23.89,28.3,30.38,30.72,29.49,31.45,27.27,29.19,32.11,31.97,32.18,35.23,28.71,20.04,26.86,33.18,30.79,31.74,36.28,35.21,31.17,33.66,32.73,37.43,33.82,39.57,37.47,29,29.25,34.99,30.31,32.91,38.47,36.93,32.36,37.02,37.52,37.5,35.07,36.58,32.43,34.35,34.51,36.29,36.88,39.07,38.63,38.48,30.53,34.48,35.8,34.21,31.11,39.53,38.8,34.18,34.39,35.83,33.84,34.41,34.59,37.2,28.48,32,32.73,32.89,35.07,39.98,39.02,29.92,40.37,38.93,35.85,41.24,42.83,40.67,31.13,36.58,39.69,40.07,40.73,41.53,41.24,36.95,40.46,42.9,38.52,39.36,46.81,44.46,28.78,23.35,29.85,29.83,25.79,38.7,41.63,32.15,35.55,38.55,40.8,42.11,44.93,50,41.42,37.49,39.78,35.78,40.87,43.41,38.07,33.5,25.56,26.68,37.17,44.48,46.14,41.33
"644","city","New Orleans","walking","","Louisiana","United States",100,32.72,26.49,32.19,52.08,73.23,45.63,28.62,23.56,24.65,26.81,45.9,60.37,32.13,29.34,25.46,23,28.36,45.26,64.71,33.67,27.96,27.16,25.56,30.98,55.76,80.31,49.74,31.63,28.1,29.05,37.44,71.77,95.03,58.11,37.69,33.29,47.37,38.35,119.09,199.67,151.46,96.02,154.5,45.95,39.13,53.83,66.87,46.32,33.22,32.8,29.96,38.18,57.47,74.8,54.16,43.72,40.3,41.8,41.81,46.72,48.75,28.28,18.74,11.47,9.32,8.52,8.14,6.17,5.35,5.93,5.93,5.95,6.13,6.54,6.07,4.94,5.91,6.2,6.24,6.17,6.87,5.8,5.33,6.22,6.42,6.46,6.81,7.48,6.63,4.37,6.79,6.44,6.73,7.52,7.51,5.88,5.45,8.13,7.72,7.37,6.59,8.47,7.56,6.53,8.27,7.76,7.03,8.87,9.45,8.88,7.48,8.83,9.13,9.14,9.77,9.03,9.76,7.84,NA,NA,10.69,9.63,11.73,11.97,9.87,12.54,13.18,12.9,13.85,14.68,14.19,11.9,11.24,12.2,13.62,14.04,16.17,15.74,12.35,14.65,14.61,14.15,16.94,17.69,13.56,6.62,9.98,14.47,13.77,17.16,19.99,21.45,15.68,16.29,16.57,17.12,17.79,22.27,22.16,14.11,14.39,16.21,14.23,18.37,22.48,23.56,16.8,17.37,17.65,17.57,18.61,22.43,20.8,15.41,16.15,16.78,19.16,19.56,23.64,24.43,16.84,16.41,16.6,16.41,17.39,23.59,23.67,15.99,17.03,17.47,17.6,17.82,21.01,22.41,14.63,15.99,15.96,18.02,19.73,23.43,25.67,16.75,19.34,18.86,19.04,21.04,26.44,27.33,20.39,21.98,21.45,21.38,23.55,27.16,30.48,21.05,21.74,20.82,20.53,20.85,27.3,28.68,16.25,11.71,13.83,12.7,12.71,22.99,25.18,18.84,19.34,20.61,21.14,22.74,29.37,36.95,27.58,19.56,18.38,19.7,21.6,26.51,27.96,18.8,15.5,13.04,17.6,20.05,25.75,26.9
"2055","county","Acadia Parish","driving","","Louisiana","United States",100,115.17,120.94,124.35,153.41,135.03,103.72,115.92,115.34,126.99,137.82,142.44,131.51,91.16,112.86,109.32,117.72,111.88,153.89,138.01,95.87,111.65,113.13,109.93,114.74,147.48,128.69,104.81,109,119.04,117.47,131.6,176.21,144.16,113.81,112.74,121.49,137.25,134.67,197.09,164.17,207.04,154.27,126.01,150.68,136.46,189.34,157.75,126.15,125.01,129.87,124.99,143.12,187.87,190.09,146.14,143.53,133.1,153.79,149.8,175.85,161.18,127.97,167.33,107.82,109.49,107.61,114.51,91.75,68.97,82.98,79.87,80.87,85.07,93.84,72.62,65.68,78.94,79.42,78.17,69.9,83.8,60.24,57.34,72.01,77.74,82.58,86.78,72.37,71.67,47.32,79.12,82.96,85.87,91.39,110.99,75.94,62.97,90.16,104.16,95.05,100.18,112.93,105.81,78.14,105.34,106.43,103.66,113.9,141.91,115.59,90.71,119.99,123.4,120.29,123.54,136.57,129.28,98.61,NA,NA,130.08,133.55,146.7,134.16,125.94,144.71,398.43,147.86,165.17,192.1,169.1,126.1,128.49,153.8,171.17,164.33,194.66,165.18,147.61,146.37,152.09,154.45,169.9,190.84,166.79,108.86,141.09,159.18,159.95,176.35,200.59,199.16,158.63,175.28,166.08,171.88,177.69,204.52,187.55,148.54,151.43,159.97,153.5,192.82,203.25,188.69,152.79,166.17,172.44,179.85,192.98,189.14,141.35,136.58,159.61,161.83,164.93,169.95,202.23,180.94,143.43,156.91,168.54,172.58,171.72,196.77,180.17,140.21,152.91,151.63,161.91,176.22,176.05,171.17,138.92,152.64,151.71,167.31,261.59,197.2,191.98,150.68,177.71,167.24,171.33,185.42,208.77,181.99,163.15,173.08,170.51,179.44,179.9,211.11,193.57,153.22,172.72,170.54,176.42,168.4,206,182.32,156.65,162.02,181.98,161.04,216.38,310.43,365.26,270.36,291.68,283.14,371.95,317.22,354.22,312.59,234.85,232.37,253.7,260.33,267.35,291.91,255.27,194.71,228.24,211.15,231.3,230.31,272.24,228.15
"2105","county","Allen Parish","driving","","Louisiana","United States",100,110.79,111.6,110.1,146.57,142.96,103.3,119.51,111.66,96.45,104.99,138.59,142.02,94.26,97.13,100.56,107.54,126.75,141.58,144.01,106.67,101.56,95.7,96.2,107.42,135.66,139.21,111.03,103.05,104.43,95.95,112.66,162.78,167.77,116.83,114.96,118.89,102.93,104.86,148.38,182.79,130.11,150.19,110.1,129.3,132.98,177.24,167.89,111.03,110.85,121.82,111.97,119.64,165.65,186.6,112.91,121.7,128.49,123.5,144.7,161.16,146.2,106.17,112.09,83.04,84.04,85.22,83.29,72.01,53.55,67.96,59.35,66.58,70.95,78.3,58.35,62.84,61.78,59.1,62.97,70.57,74.88,50.06,48.75,64.15,68.58,66.02,86.03,73.07,62.09,46.2,75.44,68.83,70.64,83.42,87.41,80.11,53.74,88.15,81.92,84.48,79.3,106.11,95.57,75.75,84.29,79.18,87.47,103.3,114.9,112.47,83.92,100.25,111.6,106.11,116.46,110.91,119.45,84.29,NA,NA,114.84,108.98,126.68,103.87,85.16,121.51,132.98,111.28,152.56,174,156.73,135.35,133.23,125.12,140.84,130.99,153.37,168.02,128.93,136.1,141.46,129.99,155.36,170.76,172.13,126.18,130.17,135.22,136.41,154.68,202.12,191.65,175.87,151.75,145.32,149.81,161.41,196.2,190.46,129.74,131.23,130.05,127,145.45,172.69,177.93,135.54,144.2,135.1,134.54,160.41,159.35,159.91,129.68,128.37,128.05,142.14,148.25,178.05,183.67,142.96,125.62,143.77,132.86,156.67,176.43,208.35,125.25,136.41,157.42,152.93,160.66,169.33,153.18,137.53,150.56,135.6,136.53,168.58,182.98,160.22,139.09,136.78,147.57,134.54,156.23,182.11,197.07,155.05,131.55,146.32,147.88,149.44,179.05,170.2,151.37,143.89,124.06,137.97,144.89,173.07,183.23,131.17,168.39,277.06,258.35,171.45,251.56,236.72,253.93,268.08,264.09,307.86,310.85,356.8,356.55,257.92,317.83,307.17,307.42,329.05,320.45,298.13,220.51,251.25,256.92,284.6,260.91,284.16,283.92
"2141","county","Ascension Parish","driving","","Louisiana","United States",100,142.47,90.73,96.66,106.97,91.14,68.18,87.08,89.88,106.75,112.45,104.26,95.85,61.43,86.78,89.44,90.96,105.88,111.02,101.49,67.9,88.19,88.54,87.59,90.57,104.74,103.73,74.55,88.11,99.03,112.24,109.28,121.08,104.83,71.11,91.84,99.97,95.76,103.44,127.47,103.29,83.56,109.15,94.12,123.32,105.25,115.43,112.26,79.27,99.31,100.61,95.92,108.12,122.3,125.1,83.62,100.36,100.95,101.66,99.48,107.83,92.67,69.28,80.36,76.72,67.43,66.76,68.55,51.24,38.79,58.13,47.69,51.33,52.21,55.94,50,38.12,52.04,50.65,52.31,54.48,58.47,45.96,39.4,53.83,54.44,56.26,60.02,58.38,52,31.01,56.27,58.52,61.62,65.48,70.06,56.66,43.2,65.94,66.5,65.89,67.98,79.39,69.34,53.49,73.51,68.3,68.42,79.3,86.44,71.23,58.88,79.38,80.5,80.97,83.61,86.22,77.95,63.39,NA,NA,94.5,91.76,103.81,90.88,74.42,101.2,102.7,107.24,110.95,121.95,99.46,84.71,81.14,103.39,113.34,120.91,129.83,111.85,87.73,103.92,110.94,104.73,111.49,135.87,111.2,57.48,88.93,111.49,111.27,121.61,136.94,121.33,92.57,113.4,122.31,122.11,128.24,141.11,125.59,85.58,104.42,114.11,112.81,120.1,151.55,122.53,93.85,120.44,121.03,122.12,128.87,119.41,95.39,81.45,106.8,118.16,120.86,124.28,136.96,124.4,96.88,112.68,117.45,115.84,121.47,138.5,124.86,92.68,114.28,115.08,118.42,124.73,124.34,117.76,89.7,117.69,116.43,130.14,135.09,136.87,121.76,94.89,124.51,128.95,129.9,130.68,146.32,125.79,94.59,123.47,121.41,125.23,136.42,143.17,125.51,102.64,115.06,122.54,120.54,127.7,137.32,166.25,92.12,91.63,94.44,93.06,81.93,139.94,124.6,100.05,130.2,132.73,133.02,140.37,152.61,131.17,103.32,103.52,123.2,125.37,127.5,147.04,133.67,99.6,119.43,107.49,122.92,129.19,139.02,122.31
"2146","county","Assumption Parish","driving","","Louisiana","United States",100,110.5,108.6,128.41,133.39,124.07,85.08,110.42,111.92,124.23,123.68,141.99,138.52,84.53,109.16,119.1,128.73,121.31,136.62,132.36,95.58,110.02,127.7,112.47,121.23,139.15,143.09,108.37,122.02,120.44,134.96,154.85,161.09,145.94,93.61,106.71,115.07,124.7,124.55,162.04,151.14,108.6,148.86,114.52,141.36,144.75,188.87,180.66,114.36,118,126.91,114.92,141.83,163.38,166.38,107.34,123.05,134.1,116.26,119.73,153.04,126.44,120.36,114.36,98.34,105.37,98.97,98.82,86.66,67.8,70.72,73.8,81.61,89.42,95.66,95.11,63.22,72.77,79.16,74.74,80.82,83.11,77.11,66.3,80.98,77.82,77.74,90.53,83.5,86.19,48.62,83.5,79.87,91.4,96.45,105.13,82.64,63.14,97.08,110.89,96.92,91.55,130.47,110.58,92.19,100.47,105.29,100.39,111.37,121.31,112.55,96.84,110.02,115.23,126.84,120.76,132.6,122.97,98.74,NA,NA,143.88,139.46,146.01,133.7,109.71,137.73,136.86,172.06,164.01,214.21,159.27,118.39,122.97,135.52,161.09,149.01,220.28,176.09,143.65,136.78,154.14,157.38,152.88,152.64,141.99,69.22,121.47,152.49,152.49,161.25,196.29,189.03,118.31,146.41,162.59,167.88,197.24,193.13,190.06,114.68,140.33,145.3,147.83,168.9,195.82,174.82,126.44,161.09,157.46,157.54,172.85,156.91,118.86,113.58,151.07,160.46,159.91,178.45,192.82,167.96,120.21,146.88,155.72,159.51,165.35,207.97,225.41,122.1,149.33,158.8,161.01,163.38,174.27,211.68,126.52,146.01,160.3,171.59,182,186.66,162.83,126.99,154.62,178.3,167.4,177.58,195.9,177.03,129.44,163.46,181.14,167.32,146.96,199.84,173.95,147.91,178.3,150.75,171.03,159.12,196.53,202.6,130.86,103.71,130.39,140.49,98.11,167.4,151.07,115.94,152.25,164.09,164.4,179.24,199.45,212.63,157.77,147.04,158.25,162.19,180.19,189.66,176.4,124.78,145.54,142.3,170.48,178.69,188.79,159.83
"2161","county","Avoyelles Parish","driving","","Louisiana","United States",100,102.76,110.32,121.98,151.65,122.82,105.56,115.7,101.65,97.86,101.51,137.86,142.08,83.14,110.05,97.46,105.34,115.26,125.67,116.77,79.18,113.97,109.65,109.56,109.39,135.94,117.53,90.48,102,127.05,125,117.57,158.81,127.98,97.78,106.18,114.95,115.35,121.49,144.97,120.33,100.93,123.27,120.33,130.03,133.14,154.63,156.54,96.84,125.4,119.35,114.23,123.35,166.81,159.43,108.45,116.9,121.13,131.27,131.63,155.92,136.88,109.7,114.95,99.91,104.45,102.98,98.13,69.8,57.96,78.6,70.11,80.34,79.76,92.3,72.86,54,72.2,80.16,82.3,78.29,85.23,67.35,59.03,83.9,75.18,91.73,86.65,83.9,71.4,46.31,93.33,78.65,93.33,104.98,109.92,91.95,59.48,88.7,99.87,97.42,111.52,117.39,95.37,74.78,97.46,95.11,109.34,97.55,135.72,111.43,95.24,106.36,125.31,125.98,129.49,130.12,125.53,87.81,NA,NA,122.95,127.8,147.42,126.82,101.56,123.75,143.77,133.9,159.65,186.57,160.81,121.53,121.89,148,150.36,160.81,172.69,165.12,135.05,143.51,148.53,153.83,174.91,196,184.52,102.36,139.41,153.69,167.75,167.17,196.66,185.19,135.94,159.48,162.99,157.83,162.41,196.66,179.09,124.56,144.53,157.03,153.38,175.58,198.04,181.81,133.9,172.78,165.79,166.99,189.06,170.64,173.49,138.35,145.28,153.2,165.97,173.84,220.86,203.38,154.54,158.14,149.24,168.42,173.67,209.56,194.04,142.44,171.49,162.72,153.96,179.05,202.22,172.95,132.83,166.99,157.34,156.45,168.68,204.27,182.25,155.69,158.19,158.01,176.82,150.36,202.49,186.43,146.22,151.56,160.94,156.23,163.39,207.56,190.97,129.09,160.36,146.84,154.94,153.25,192.84,170.73,120.73,140.04,132.21,152.18,114.55,216.95,213.3,178.6,196.31,215.08,194.35,208.81,245.37,210.1,170.42,164.86,180.16,185.14,181.23,213.39,220.55,144.35,169.04,162.81,168.37,178.69,203.56,175.36
"2197","county","Beauregard Parish","driving","","Louisiana","United States",100,118.72,124.61,123.69,132.81,126.83,88.26,127.36,117.58,105.24,115.49,134.42,134.73,86.13,107.94,110.69,117.71,130.98,148.12,156.37,108.16,125.04,117.19,100.39,127.31,145.51,148.12,104.76,106.15,114.27,114.35,144.85,160.86,153.01,118.59,141.75,136.47,122.08,128.05,172.91,149.69,123.87,136.43,139.83,129.62,146.16,183.46,180.28,113.79,155.76,153.53,123.82,160.95,197.69,198.08,123.95,145.51,159.69,145.81,145.51,169.98,148.04,114.83,133.68,119.81,120.9,125.79,106.72,90.01,62.26,89.62,95.2,89.92,98.65,111.69,89.18,77.09,95.07,90.31,94.68,94.11,105.63,81.59,63.87,91.54,100.79,91.71,100.87,106.28,92.71,52.88,95.55,102.79,114.27,115.27,108.99,113.22,67.28,117.67,109.99,112.26,121.25,147.38,110.82,89.14,119.81,116.97,113.22,130.02,151.88,140.71,111.74,122.43,132.81,145.16,148.34,160.17,151.79,102.66,NA,NA,163.53,152.44,181.59,164.49,129.14,178.32,164.97,160.17,183.42,232.37,205.72,133.29,137.26,177.62,180.85,183.99,193.85,196.82,147.29,181.54,204.97,169.02,175.48,201.09,204.1,126.66,154.1,186.61,169.68,179.45,202.97,223.12,157.33,175.35,168.32,185.65,189.35,218.54,198.39,144.76,169.02,178.45,160.08,186.08,205.72,210.91,143.5,169.9,186.34,192.5,201.09,218.76,162.09,142.5,165.1,180.45,174.65,196.73,210.86,211.82,153.66,177.05,231.2,205.02,199.74,213.79,184.12,136.08,164.97,199.48,186.56,198.43,191.1,178.88,133.25,175.44,169.55,163.7,184.16,196.03,184.12,172.34,189.27,171.16,175.61,188.31,219.46,225.74,151.27,171.42,176.13,173.52,159.6,199.61,212,181.11,209.12,200.26,163.13,169.63,205.02,178.4,130.89,198.25,450.39,341.54,141.88,288.92,335.34,300.83,321.86,356.76,337.39,300.57,346.42,356.76,306.11,304.93,352.88,363.44,360.25,383.6,331.06,255.19,310.47,320.33,328.01,303.93,316.14,281.54
"2242","county","Bienville Parish","driving","","Louisiana","United States",100,111.2,112.65,113.57,144.4,115.49,92.87,110.97,110.43,99.62,104.29,129.91,114.72,89.19,144.48,110.12,99.92,112.96,130.44,125.77,81.37,97.85,104.22,97.09,114.42,147.78,126.07,98.08,100.92,105.37,113.19,127.68,162.88,132.52,95.32,113.57,112.58,101.53,109.74,145.94,152.53,102.07,118.48,120.25,124.16,142.64,164.34,142.02,109.43,119.48,126.46,113.57,128.3,202.15,203.14,143.79,121.93,149.54,148.47,153.76,174.31,158.97,119.63,115.72,105.67,112.5,115.8,123.93,98.62,73.93,72.39,81.06,85.2,85.81,84.97,73.85,68.25,69.94,77.38,77.53,73.31,74.31,54.83,54.52,70.86,76.38,73.47,73.93,79.83,61.2,59.82,77.45,76.99,89.57,87.73,92.79,83.21,47.85,81.29,101.69,81.9,102.99,101.38,89.34,79.83,101.84,79.83,123.77,108.9,116.33,112.04,104.6,115.26,114.42,125.77,131.83,130.44,127.15,102.38,NA,NA,121.7,121.78,149.62,125.92,107.82,139.19,142.25,140.41,154.06,184.97,177.22,123.7,130.75,147.16,152.07,176.99,194.63,194.02,153.53,149.69,161.12,136.43,163.42,192.02,186.58,144.63,121.55,141.72,160.58,190.95,207.44,189.49,146.78,162.65,151.76,166.1,162.04,211.89,228.76,151.84,159.97,160.35,157.29,179.45,197.62,207.9,155.37,174.77,155.9,198.47,204.98,215.72,148.24,182.67,179.29,150.92,148.62,188.11,206.75,223.62,155.14,172.09,176.3,153.3,184.05,246.09,221.55,145.09,167.33,167.25,183.59,197.62,249.62,236.27,167.02,198.47,214.34,171.86,192.1,210.51,246.01,170.86,211.73,165.34,187.81,187.65,221.86,205.06,173.31,191.87,205.37,176.07,192.94,217.18,210.28,161.2,165.49,162.81,167.25,172.32,211.12,178.83,169.86,171.47,161.5,169.94,103.37,252.07,204.75,187.12,203.14,199.16,189.8,194.1,228.53,225.23,167.41,173.31,182.82,158.97,173.77,230.21,273.77,145.94,163.57,167.33,162.04,184.43,201.07,177.45
