"","geo_type","region","transportation_type","alternative_name","sub.region","country","X2020.01.13","X2020.01.14","X2020.01.15","X2020.01.16","X2020.01.17","X2020.01.18","X2020.01.19","X2020.01.20","X2020.01.21","X2020.01.22","X2020.01.23","X2020.01.24","X2020.01.25","X2020.01.26","X2020.01.27","X2020.01.28","X2020.01.29","X2020.01.30","X2020.01.31","X2020.02.01","X2020.02.02","X2020.02.03","X2020.02.04","X2020.02.05","X2020.02.06","X2020.02.07","X2020.02.08","X2020.02.09","X2020.02.10","X2020.02.11","X2020.02.12","X2020.02.13","X2020.02.14","X2020.02.15","X2020.02.16","X2020.02.17","X2020.02.18","X2020.02.19","X2020.02.20","X2020.02.21","X2020.02.22","X2020.02.23","X2020.02.24","X2020.02.25","X2020.02.26","X2020.02.27","X2020.02.28","X2020.02.29","X2020.03.01","X2020.03.02","X2020.03.03","X2020.03.04","X2020.03.05","X2020.03.06","X2020.03.07","X2020.03.08","X2020.03.09","X2020.03.10","X2020.03.11","X2020.03.12","X2020.03.13","X2020.03.14","X2020.03.15","X2020.03.16","X2020.03.17","X2020.03.18","X2020.03.19","X2020.03.20","X2020.03.21","X2020.03.22","X2020.03.23","X2020.03.24","X2020.03.25","X2020.03.26","X2020.03.27","X2020.03.28","X2020.03.29","X2020.03.30","X2020.03.31","X2020.04.01","X2020.04.02","X2020.04.03","X2020.04.04","X2020.04.05","X2020.04.06","X2020.04.07","X2020.04.08","X2020.04.09","X2020.04.10","X2020.04.11","X2020.04.12","X2020.04.13","X2020.04.14","X2020.04.15","X2020.04.16","X2020.04.17","X2020.04.18","X2020.04.19","X2020.04.20","X2020.04.21","X2020.04.22","X2020.04.23","X2020.04.24","X2020.04.25","X2020.04.26","X2020.04.27","X2020.04.28","X2020.04.29","X2020.04.30","X2020.05.01","X2020.05.02","X2020.05.03","X2020.05.04","X2020.05.05","X2020.05.06","X2020.05.07","X2020.05.08","X2020.05.09","X2020.05.10","X2020.05.11","X2020.05.12","X2020.05.13","X2020.05.14","X2020.05.15","X2020.05.16","X2020.05.17","X2020.05.18","X2020.05.19","X2020.05.20","X2020.05.21","X2020.05.22","X2020.05.23","X2020.05.24","X2020.05.25","X2020.05.26","X2020.05.27","X2020.05.28","X2020.05.29","X2020.05.30","X2020.05.31","X2020.06.01","X2020.06.02","X2020.06.03","X2020.06.04","X2020.06.05","X2020.06.06","X2020.06.07","X2020.06.08","X2020.06.09","X2020.06.10","X2020.06.11","X2020.06.12","X2020.06.13","X2020.06.14","X2020.06.15","X2020.06.16","X2020.06.17","X2020.06.18","X2020.06.19","X2020.06.20","X2020.06.21","X2020.06.22","X2020.06.23","X2020.06.24","X2020.06.25","X2020.06.26","X2020.06.27","X2020.06.28","X2020.06.29","X2020.06.30","X2020.07.01","X2020.07.02","X2020.07.03","X2020.07.04","X2020.07.05","X2020.07.06","X2020.07.07","X2020.07.08","X2020.07.09","X2020.07.10","X2020.07.11","X2020.07.12","X2020.07.13","X2020.07.14","X2020.07.15","X2020.07.16","X2020.07.17","X2020.07.18","X2020.07.19","X2020.07.20","X2020.07.21","X2020.07.22","X2020.07.23","X2020.07.24","X2020.07.25","X2020.07.26","X2020.07.27","X2020.07.28","X2020.07.29","X2020.07.30","X2020.07.31","X2020.08.01","X2020.08.02","X2020.08.03","X2020.08.04","X2020.08.05","X2020.08.06","X2020.08.07","X2020.08.08","X2020.08.09","X2020.08.10","X2020.08.11","X2020.08.12","X2020.08.13","X2020.08.14","X2020.08.15","X2020.08.16","X2020.08.17","X2020.08.18","X2020.08.19","X2020.08.20","X2020.08.21","X2020.08.22","X2020.08.23","X2020.08.24","X2020.08.25","X2020.08.26","X2020.08.27","X2020.08.28","X2020.08.29","X2020.08.30","X2020.08.31","X2020.09.01","X2020.09.02","X2020.09.03","X2020.09.04","X2020.09.05","X2020.09.06","X2020.09.07","X2020.09.08","X2020.09.09","X2020.09.10","X2020.09.11","X2020.09.12","X2020.09.13","X2020.09.14","X2020.09.15","X2020.09.16","X2020.09.17","X2020.09.18","X2020.09.19"
"165","city","Albuquerque","driving","","New Mexico","United States",100,101.06,104.03,97.01,118.28,116.32,80.57,94.51,99.66,101.47,104.29,119.89,115.52,77.72,96.01,103.17,103.8,106.1,121.73,117.85,77.04,97.16,98.5,104.48,108.02,125.97,121.12,83.81,105.73,90.05,110.8,123.73,144.08,126.84,94.49,105.31,108.67,108.85,114.72,133.53,126.33,85.98,112.65,109.58,114.18,118.12,135,143.68,93.07,107.47,115.03,112.75,118.74,137.36,132.8,87.89,111.34,121.72,120.34,115.46,115.42,105.16,73.31,90.14,82.66,79.14,73.26,80.06,66.52,51.19,63.13,55.03,56.43,53.86,60.69,52.93,43.05,54.76,57.3,57.72,58.72,65.78,57.23,44.45,57.06,57.64,59.35,60.2,69.14,58.42,37.42,51.78,59.63,66,67.78,75.23,66.92,53.13,66.58,66.09,69.02,71.7,78.53,70.01,57.21,69.77,73.44,73.93,76.91,90.4,80.03,63.08,77.37,81.24,80.79,83.39,93.47,87.01,64.11,NA,NA,88.12,92.4,109.16,101.71,80.7,98.16,100.5,103.52,107.3,119.87,103.85,84.86,80.2,105.39,107.04,110.86,122.54,110.23,94.75,109.66,114.37,115.35,119.33,134.2,121.92,96.64,115.45,116.64,121.32,121.58,138,128.23,100.11,116.78,123.52,126.78,127.46,144,132.14,92.52,123.02,126.78,131.6,132.54,148.03,140.99,108.4,128.47,130.3,133.55,140.8,136.51,101.41,94.25,123.37,128.82,128.11,128.97,146.15,133.32,100.8,115.25,122.41,125.34,126.3,146.26,131.66,102.47,120.87,122.79,125.72,129.11,142.15,130.41,103.14,118.49,126.3,131.7,135.73,152.07,136.09,104.26,127.38,130.7,127.43,133.7,150.4,139.53,109.64,124.77,128.33,126.63,133.01,150.15,142.96,109.8,123.18,123.74,126.24,128.97,151.02,137.28,104.68,116.78,119.75,123.38,124.67,146.08,139.3,105.64,119.03,121.61,124.5,131.25,151.47,137.94,109.76,102.83,119.93,120.98,124.98,147.92,143.36,104.82,122.11,124.12,126.45,128.28,149.06,141.44
"166","city","Albuquerque","transit","","New Mexico","United States",100,82.47,86.27,77.21,79.91,80.35,66.62,82.91,89.92,89.26,80.79,87.87,87.87,68.37,75.75,87.14,91.67,93.5,93.21,80.13,64.79,88.17,78.52,87,85.68,95.03,84.51,72.46,89.63,77.57,88.02,91.75,91.6,83.49,74.87,92.99,91.02,91.96,96.57,97.95,81.3,69.83,89.04,73.05,91.53,88.09,88.82,87.36,65.67,87.44,87.14,89.55,96.49,104.16,92.99,73.27,95.11,98.39,94.45,84.95,74,64.65,52.52,64.21,59.31,58.07,48.06,48.43,42,34.62,43.83,38.5,44.7,37.69,37.55,38.57,31.99,36.89,39.08,32.07,36.52,39.81,32.14,30.09,31.78,33.97,35.43,34.26,34.19,27.98,23.3,27.98,32.29,30.68,33.38,32.94,32.65,31.92,33.82,30.97,37.11,29.29,33.89,33.53,28.78,34.19,36.82,35.57,40.91,44.49,37.11,35.28,37.69,38.86,40.1,40.39,38.35,37.69,31.41,NA,NA,41.49,42.37,43.61,43.54,39.81,46.53,42.59,38.35,42.59,47.26,43.1,35.72,37.03,42.8,43.46,46.6,55.73,47.99,41.34,47.33,46.82,48.94,50.18,51.79,51.06,41.56,52.74,56.68,53.76,55.22,51.21,54.05,48.21,61.94,55.88,55.22,56.54,57.2,57.27,43.39,57.05,57.2,66.98,58.36,66.47,60.19,50.11,64.79,58.58,59.31,62.82,56.25,39.08,48.58,49.23,66.84,60.26,62.53,53.54,59.75,38.93,63.18,55.44,56.39,59.61,71.37,53.1,47.55,54.93,52.81,49.38,54.27,52.37,55.3,43.75,49.45,54.71,58.58,51.86,60.63,49.16,45.07,50.69,55.15,61.87,60.77,55.3,57.85,54.05,63.84,63.77,58.95,61.72,60.04,50.33,43.68,57.85,55.88,56.1,59.53,62.67,49.16,47.55,51.35,54.05,59.31,52.3,61.58,66.91,55.22,65.23,53.1,64.5,59.53,58.36,56.68,46.17,42.44,62.53,52.74,63.7,62.67,57.27,51.28,66.98,59.53,65.74,68.74,78.52,70.2
"167","city","Albuquerque","walking","","New Mexico","United States",100,102.02,107.65,86.33,115.66,129.9,88.77,98.01,101.99,106.8,107.85,132.13,126.92,86.26,94.58,101.19,101.85,106.23,129.45,134.93,77.27,97.99,88.65,97.3,104.22,136.18,149.01,84.67,93.22,88.63,109.91,135.4,154.34,151.96,105.12,115.31,111.07,109.17,117.87,131.31,145.02,84.46,111.83,102.85,111.09,119.05,143.13,162.98,92.99,113.46,117.39,112.58,121.26,150.73,156.21,90.92,113.94,120.8,122.61,123.43,122.66,118.94,78.75,98.24,93.29,76.61,74.86,80.73,72.84,54.22,69.71,62.98,61.71,56.64,64.38,61.92,49.83,62.79,65.78,66.85,73.48,74.72,67.98,55.38,64.83,73.62,66.51,69.07,80.31,65.61,42.61,50.43,62.04,74.31,72.2,79.64,71.45,63.72,78.65,73.69,76.76,77.63,83.7,82.09,65.87,75.28,83.88,87.56,89.58,101.59,92.54,69.08,86.75,94.95,93.39,94.13,103.06,97.94,66.02,NA,NA,101.33,108.11,131.16,126.47,100.88,125.9,127.09,131.76,134.39,145.07,126.59,99.74,100.83,126.25,122.02,128.39,146.61,127.77,113.41,138.96,140.71,147.08,141.07,160.36,155.73,113.48,135.45,138.15,143.46,148.11,166.25,149.05,115.59,133.93,145.47,147.02,144.67,167.73,162.18,112.09,150.76,170,174.19,179.39,199.07,178.41,125.38,162.53,163.17,174.78,184.58,176.7,127.51,112.16,154.67,150.02,159.91,159,180.85,164.83,124.97,150.5,149.53,154.48,163.15,179.53,164.13,118.22,143.03,150,163.11,153.94,176.66,165.35,123.94,141.4,155.78,156.96,159.52,181.16,160.02,121.09,155.07,157.37,149.76,162.98,187.49,173.49,131.16,151.56,163.82,158.08,170.09,187.46,184.29,131.78,149.74,157.72,161.7,163.03,188.46,169.19,132.98,149.52,154.46,163.58,162.63,187.39,183.51,133.36,149.48,150.88,159.71,157.32,175.42,173.06,137.04,124.03,145.38,144.69,150.67,177.32,180.88,124.24,148.44,159.1,157.21,153.82,186.14,181.82
"2232","county","Bernalillo County","driving","","New Mexico","United States",100,100.93,104.04,97.47,118.75,116.33,81.03,94.7,99.71,101.61,104.51,120.39,115.93,78.22,96.13,103.54,104.26,106.5,121.91,117.88,76.83,97.12,98.71,104.59,108.19,126.24,120.98,84.04,106.14,90.31,110.46,123.98,144.48,126.08,94.64,105.64,108.4,108.53,114.43,133.18,125.77,86.31,112.32,109.39,114.28,118.69,135.8,142.85,93.51,107.61,115.28,112.18,118.77,137.62,133.42,88.82,111.92,122.34,119.78,115.13,116.55,107.07,74.77,90.99,83.54,79.98,73.71,81.04,67.69,51.89,63.14,55.15,56.14,53.63,60.21,52.78,42.99,54.26,56.93,57.39,58.24,65.09,56.92,44.25,56.54,56.95,58.66,59.56,68.34,57.97,37.09,51.04,59.05,65.06,66.63,74.68,66.36,53.11,65.94,65.31,68.35,70.5,77.09,69.6,57.02,68.87,72.68,73.55,76.29,89.45,79.48,62.88,76.5,80.04,79.98,82.63,92.25,86.43,63.69,NA,NA,87.23,91.18,107.91,100.64,80.06,97.3,99.52,102.41,106.92,119.36,103.47,85.16,79.82,104.65,106.52,110.29,122.37,109.94,95.48,108.69,113.23,114.55,118.38,133.27,121.64,96.33,114.16,116.32,120.76,120.88,137.25,127.37,100.01,116.26,122.97,125.71,126.73,144.28,132.09,92.71,123.05,126.14,130.57,132.52,147.71,140.84,108.39,128.21,129.65,133.44,140.31,136.44,101.19,94.51,122.7,128.45,127.98,128.86,145.71,133.09,100.71,114.47,121.65,124.55,125.95,144.36,130.82,102.04,119.8,122.37,125.41,127.8,140.81,129.75,102.83,117.66,125.66,131.29,134.9,151.19,136.43,104.66,126.73,130.18,126.74,133.04,150.46,139.51,110.05,123.97,127.83,126.22,133.04,150.38,144.15,109.51,122.79,123.48,125.46,128.53,150.76,137.16,104.81,116.24,119.04,122.87,124.25,145.18,139.17,106.06,118.54,121.15,124.39,130.75,151.64,138.7,110.35,103.19,119.5,119.86,124.23,147.28,143.42,104.41,121.6,123.76,125.81,128.03,148.18,141.62
"2233","county","Bernalillo County","transit","","New Mexico","United States",100,82.92,85.38,77.4,81.13,80.39,66.07,82.4,89.49,87.84,81.51,87.77,87.02,67.34,76.66,88.44,91.8,92.32,92.84,80.39,66.22,87.02,76.21,85.61,84.41,94.56,83.15,72.33,88.52,78.15,88.14,90.9,91.35,83.15,74.72,93.14,88.96,91.65,97.09,99.33,80.31,67.19,89.19,72.26,91.72,89.34,87.7,85.76,64.8,86.43,86.2,89.34,95.82,103.06,91.35,73.01,95.9,96.12,93.29,85.76,73.83,64.73,52.65,64.13,59.36,55.26,46.91,48.32,41.76,34.53,43.25,38.4,44.97,36.54,36.76,37.43,30.87,35.57,37.21,31.92,35.5,39,31.84,29.9,31.62,33.11,33.93,33.41,34.45,27.22,22.45,25.88,29.9,29.68,33.33,31.77,31.62,31.92,33.86,30.95,35.87,28.71,33.41,32.96,26.62,32.66,35.5,34.45,41.24,43.4,37.14,34.9,37.21,37.73,40.04,40.72,37.06,36.09,31.1,36.47,28.26,39.15,39.67,42.58,41.69,37.58,45.56,40.42,37.66,41.76,47.65,41.83,34.23,36.24,41.76,44.3,42.88,53.62,45.64,41.54,45.79,45.41,48.1,48.77,49.29,50.71,42.65,52.35,54.59,51.75,53.84,49.59,54.14,46.61,59.81,55.63,55.7,55.85,57.2,55.03,43.55,53.91,55.7,64.73,57.72,64.95,59.51,50.41,64.13,56,56.9,63.16,55.33,40.42,47.5,48.1,64.43,58.84,61.3,55.56,59.58,39.45,63.01,54.44,55.33,58.91,69.43,53.17,45.94,50.93,52.35,49.29,52.27,51.23,53.99,43.25,49.07,54.21,57.2,51.01,60.03,48.17,45.79,50.41,53.47,59.51,58.54,54.29,57.12,53.77,62.27,63.16,59.28,61.37,60.55,51.3,42.8,58.31,55.48,56.6,56.75,62.19,48.84,46.98,50.71,52.95,56.82,51.53,61.45,64.88,55.03,63.53,52.5,63.01,57.72,58.39,56.97,45.71,41.16,61.74,51.38,64.35,62.64,57.05,51.6,66.37,57.79,63.83,66.22,76.51,70.25
"2234","county","Bernalillo County","walking","","New Mexico","United States",100,101.36,106.32,86.73,116.16,129.09,89.01,97.83,102.62,106.26,108.74,132.24,126.37,85.74,95.19,102.23,102.26,107.02,128.83,132.65,76.33,97.27,88.96,97.21,104.14,137.72,148.07,84.87,93.14,89.1,108.69,134.5,155.48,151.11,103.44,113.25,110.88,107.71,117.05,132.07,145.45,84.14,111.38,103.55,111.51,119.26,144.33,163,92.83,113.1,118.03,110.77,120.27,150.33,156.14,90.62,114.66,119.78,123,124.42,121.76,119.53,79.89,97.52,92.52,75.71,74.12,79.53,70.97,53.5,68.92,63.38,60.43,55.95,62.97,60.27,48.8,61.32,64.92,66.84,72.47,74.95,66.23,53.88,64.02,73.34,65.38,67.58,78.9,64.38,42.37,49.57,60.76,73.57,71,77.86,69.45,62.44,77.92,71.2,75.42,76.49,82.82,80.96,64.87,74.14,83.15,86.44,87.62,100,89.52,69.07,84.4,93.19,89.14,91.11,100.89,94.77,64.81,78.84,72.2,99.48,106.57,126.62,122.06,97.95,121.61,123.6,129.05,131.48,143.04,123.55,99.15,98.97,122.03,120.74,123.38,143.86,123.35,111.37,135.26,137.74,144.72,138.62,156.09,153.29,110.39,130.68,135.46,141.01,145.79,162.91,144.29,113.21,131.35,143.31,144.67,141,166.99,159.06,109,146.03,164.72,170.7,175.67,192.36,175.13,121.54,160.9,158.41,170.77,179.35,170.81,124.81,109.57,151.55,146.9,157.41,155.98,178.37,160.74,122.24,145.79,146.88,150.7,160.52,171.84,160.27,115.13,138.97,145.7,160.2,147.6,168.31,160.58,119.82,136.27,154.59,154.53,155.89,177.54,156.65,118.44,150.52,154.32,146.12,158.44,185.5,169.03,127.04,148.6,161.5,155.57,165.47,185.54,182.44,129.3,148.13,155.31,158.17,159.89,184.78,166.95,131.78,144.52,150.12,160,158.91,183.1,180.83,132.31,149.07,145.41,155.62,155.4,172.63,170.21,136.49,122.1,141.94,141.07,146.17,172.98,179.04,124.14,147.38,152.9,155.86,150.41,181.68,177.29
"2450","county","Chaves County","driving","","New Mexico","United States",100,101.88,110.55,117.1,147.31,138.55,106.49,117.06,103.32,110.82,105.56,132.37,122.4,110.43,98.68,103.5,102.68,110.34,134.12,125.35,104.88,111.64,86.77,90.48,105.87,140.37,124.93,109,113.93,87.08,103.44,122.89,186.42,153.64,136.45,146.86,117.04,115.35,115.76,152.57,145.77,121.72,117.72,113.17,118.69,126.46,150.73,138.39,126.99,120.63,125.45,117.72,137.52,168.66,199.75,174.39,158.93,160.89,158.93,168.97,188.11,185.99,141.99,140.68,124.44,118.55,109.4,117.33,111,84.03,81.6,75.17,75.44,75.99,76.65,74,56.85,69.75,77.58,66.23,67.73,77.13,70.04,53.95,64.08,71.89,70.57,70.16,79.48,68.18,47.27,66.7,65.26,73.6,78.43,87.8,86.17,72.74,82.73,79.58,82.38,85.43,91.47,90.73,73.79,89.74,84.5,88.09,93.32,116.71,105.79,80.45,98,89.86,98.31,104.2,122.17,111.68,82.57,NA,NA,111.68,114.44,132.47,126.99,113.48,123.1,117.41,128.56,135.3,167.55,159.59,127.67,129.8,136.91,140.8,140.12,167.5,152.96,122.73,127.94,137.34,142.63,142.51,169.96,165.2,142.18,143.44,144.32,149.52,153.1,185.62,183.31,153.45,157.7,156.38,158.11,167.88,203.07,195.03,156.93,169.15,166.78,166.82,163.24,204.22,211.72,176.86,167.88,168.18,177.33,200.02,208.47,151.33,170.97,178.43,170.84,168.1,174.04,200.8,213.48,150.26,155.7,156.67,149.41,162.19,189.8,186.36,150.46,152.69,147.31,156.89,157.08,193.96,197.22,168,167.2,161.49,172.26,182.49,189.35,186.98,171.85,172.97,155.51,167.59,168.7,202.49,190.01,159.92,161.49,156.54,161.1,169.98,191.28,181.66,166.64,147.68,146.36,152.59,150.36,186.92,171.25,145.85,148.32,150.46,137.32,155.97,182.57,174.33,144.53,159.2,152.79,142.2,170.04,234.95,209.4,173.25,192.64,165.92,133.98,149.99,178.71,194.42,152.71,145.58,147.83,157.18,156.58,187.45,193.84
"2486","county","Cibola County","driving","","New Mexico","United States",100,101.94,111.96,117.33,141.82,131.07,110.12,125.41,97.29,109.68,111.47,116.99,117.38,114.86,91.34,102.9,113.55,123.43,145.4,162.78,109,100.19,106.82,116.84,118.78,134.85,141.29,130.98,103.68,100.05,109.78,122.75,156.97,141.63,140.8,144.48,105.23,119.46,131.51,139.11,132.43,135.72,122.56,120.81,117.42,122.02,169.17,158.33,161.13,126.14,129.67,129.67,138.58,162.34,176.86,175.61,158.28,154.55,142.16,160.75,211.67,240.42,204.94,182.43,189.11,209.58,188.43,208.91,202.03,156.58,111.23,109.49,142.88,92.74,109.83,159.83,92.26,73.77,88.96,86.25,91.58,97.1,99.08,83.35,59,73.23,82.09,74.39,85.48,94.05,67.86,61.37,71.88,82.62,82.33,100.48,104.4,90.61,75.65,84.7,102.76,102.37,105.66,112.49,95.4,90.22,99.23,107.36,117.09,137.9,154.89,126.14,113.5,114.52,113.07,137.42,141.19,140.22,115.59,NA,NA,133.49,139.25,161.76,157.12,145.55,126.14,131.99,140.8,171.49,209.87,193.13,170.96,162.15,149.81,154.99,167.13,181.03,198.79,175.65,166.51,158.57,164.33,165.73,171.73,209.68,171.35,163.26,162.83,230.45,183.35,207.65,215.15,193.32,170.14,184.03,176.38,217.33,252.57,208.08,205.86,189.98,175.46,183.88,200.53,222.51,241.24,232.96,207.21,185.48,242.16,257.16,235.19,190.03,192.93,204.84,174.01,196.47,201.89,204.11,228.12,188.33,162.54,170.76,185.96,195.74,207.31,215.92,197.05,166.75,170.81,176.57,182.28,203.39,214.38,204.4,176.04,170.91,188.29,209.29,229.62,225.61,206.82,200.29,192.3,192.69,207.89,217.38,230.45,208.57,173.28,185.43,191.38,208.71,222.65,250.87,223.48,166.07,172.51,190.32,186.21,181.61,212.68,210.79,142.88,155.42,154.6,169.85,185.43,217.91,182.82,209,156.92,170.43,192.84,232.43,265.49,332.43,206.15,142.88,164.67,168.93,225.36,611.52,251.74,151.6,153.48,171.88,172.51,190.08,223.96
"2557","county","Colfax County","driving","","New Mexico","United States",100,81.57,95.89,133.53,213.83,151.17,159.43,173.8,92.28,88.37,103.37,116.18,109.73,126.3,89.69,78.98,81.87,101.81,137.05,119.06,129.23,114.66,63.59,84.02,121.21,135.09,125.32,141.15,96.53,69.11,96.68,179.08,235.24,177.71,207.92,214.52,108.46,114.27,138.07,182.36,153.08,177.96,117.25,91.89,105.91,143.99,162.9,147.9,168.23,108.55,84.41,87.05,119.89,208.9,315.3,296.24,218.67,193.79,215.69,257.14,343.99,389.35,309.14,234.56,212.41,180.65,128.98,139.05,148.63,116.57,81.18,72.09,65.3,58.75,65.98,71.95,59.53,46.87,53.18,48.68,49.9,60.12,63.15,55.62,49.36,41.4,45.7,46.38,55.96,58.36,44.18,47.85,50.44,56.3,54.5,78.98,80.79,62.41,61.83,56.7,59.43,63.34,89.44,97.56,81.62,68.77,72.87,77.03,96.14,106.74,120.63,100.24,92.33,84.8,86.61,99.22,119.45,123.95,101.37,NA,NA,108.16,117.01,143.74,161.05,150.29,131.67,114.91,137.05,171.55,247.61,236.22,221.46,233.33,157.77,145.5,159.38,200.49,202.25,199.8,157.67,149.02,157.43,174.78,224.34,247.7,236.07,198.14,179.28,180.79,216.81,262.66,279.72,288.81,202.54,189.78,220.67,256.4,296.87,310.26,304.55,255.77,213.54,237.05,259.58,362.51,376.44,359.19,290.22,238.03,309.19,390.71,420.53,278.54,412.27,338.27,242.23,241.74,290.18,353.13,384.31,320.82,253.47,224.49,234.75,275.22,344.28,403.42,351.32,253.52,213.78,228.98,291.74,358.8,389.54,369.4,264.22,233.97,244.53,307.43,370.23,462.41,372.24,268.28,233.28,259.68,294.82,355.33,409.53,372.92,254.35,234.21,242.91,282.6,349.46,365.49,347.8,240.37,206.26,198.39,249.17,269.55,287.39,264.66,191.98,148.29,168.91,205.96,252.59,277.03,252.93,175.56,143.35,162.51,228.59,374.98,344.43,335.19,441.89,179.13,148.24,197.17,244.48,246.19,227.27,175.71,166.13,177.37,208.75,263.39,266.18
"2634","county","Curry County","driving","","New Mexico","United States",100,95.51,91.25,87.38,128.52,102.47,82.62,94.49,90.83,94.64,101.82,108.83,111.54,79.28,91.4,89.58,91.87,94.66,123.29,110.02,81.82,97.21,78.46,80.63,103.69,118.27,112.54,85.46,93.87,77.21,93.54,118.4,142.51,108.9,84.29,116.75,109.6,97.71,106.03,132.01,118.08,88.71,99.23,102.27,105.26,113.01,131.51,123.26,95.91,106.73,104.01,100.52,106.68,144.58,160.68,108.75,114.54,111.14,115.68,112.67,141.36,144.38,95.24,125.5,105.73,100.65,91.92,103.54,83.69,65.05,77.29,69.23,66.17,69.93,70.66,62.23,53.25,65,71.3,74.64,74.97,82.5,70.98,55.4,76.74,69.51,71.78,69.81,82.8,70.83,46.62,61.88,67.74,88.98,93.97,90.92,81.63,69.51,97.61,88.63,85.94,93.62,101.8,88.68,70.81,98.28,91.22,90.4,88.91,115.21,104.99,85.54,100.62,108.75,106.73,113.29,117.48,105.71,80.98,NA,NA,103.32,110.1,117.03,119.42,95.76,119.87,121.07,122.86,126.85,154.77,145.9,110.6,104.66,126.78,130.37,133.88,170.93,133.91,110.6,128.45,140.86,135.78,144.25,168.11,153.63,113.86,132.26,130.91,140.74,148.69,169.26,163.63,123.06,145.62,140.84,143.23,152.31,169.58,175.37,122.11,156.12,144.25,163.23,150.11,175.24,175.57,134.85,167.79,158.79,161.83,183.64,182.2,146.35,134.13,154.9,145.25,153.35,157.39,171.25,162.48,134.21,143.26,146,146.2,146.07,174.87,150.74,131.41,142.93,139.44,145.25,154.08,174.92,176.19,130.42,151.43,147.02,149.94,162.95,180.03,178.53,135.75,156.89,151.38,154.7,156.25,184.37,169.78,143.61,152.98,153.1,146.9,148.87,185.59,172.5,141.98,150.69,147.89,146.9,150.19,176.61,163.53,126,138.27,134.01,142.71,142.23,165.69,160.48,122.29,142.93,139.07,142.86,175.29,189.08,158.04,131.71,129.74,146.92,135.48,138.92,163.08,165.25,123.24,147.37,150.46,144.88,146.2,169.31,166.67
