"","geo_type","region","transportation_type","alternative_name","sub.region","country","X2020.01.13","X2020.01.14","X2020.01.15","X2020.01.16","X2020.01.17","X2020.01.18","X2020.01.19","X2020.01.20","X2020.01.21","X2020.01.22","X2020.01.23","X2020.01.24","X2020.01.25","X2020.01.26","X2020.01.27","X2020.01.28","X2020.01.29","X2020.01.30","X2020.01.31","X2020.02.01","X2020.02.02","X2020.02.03","X2020.02.04","X2020.02.05","X2020.02.06","X2020.02.07","X2020.02.08","X2020.02.09","X2020.02.10","X2020.02.11","X2020.02.12","X2020.02.13","X2020.02.14","X2020.02.15","X2020.02.16","X2020.02.17","X2020.02.18","X2020.02.19","X2020.02.20","X2020.02.21","X2020.02.22","X2020.02.23","X2020.02.24","X2020.02.25","X2020.02.26","X2020.02.27","X2020.02.28","X2020.02.29","X2020.03.01","X2020.03.02","X2020.03.03","X2020.03.04","X2020.03.05","X2020.03.06","X2020.03.07","X2020.03.08","X2020.03.09","X2020.03.10","X2020.03.11","X2020.03.12","X2020.03.13","X2020.03.14","X2020.03.15","X2020.03.16","X2020.03.17","X2020.03.18","X2020.03.19","X2020.03.20","X2020.03.21","X2020.03.22","X2020.03.23","X2020.03.24","X2020.03.25","X2020.03.26","X2020.03.27","X2020.03.28","X2020.03.29","X2020.03.30","X2020.03.31","X2020.04.01","X2020.04.02","X2020.04.03","X2020.04.04","X2020.04.05","X2020.04.06","X2020.04.07","X2020.04.08","X2020.04.09","X2020.04.10","X2020.04.11","X2020.04.12","X2020.04.13","X2020.04.14","X2020.04.15","X2020.04.16","X2020.04.17","X2020.04.18","X2020.04.19","X2020.04.20","X2020.04.21","X2020.04.22","X2020.04.23","X2020.04.24","X2020.04.25","X2020.04.26","X2020.04.27","X2020.04.28","X2020.04.29","X2020.04.30","X2020.05.01","X2020.05.02","X2020.05.03","X2020.05.04","X2020.05.05","X2020.05.06","X2020.05.07","X2020.05.08","X2020.05.09","X2020.05.10","X2020.05.11","X2020.05.12","X2020.05.13","X2020.05.14","X2020.05.15","X2020.05.16","X2020.05.17","X2020.05.18","X2020.05.19","X2020.05.20","X2020.05.21","X2020.05.22","X2020.05.23","X2020.05.24","X2020.05.25","X2020.05.26","X2020.05.27","X2020.05.28","X2020.05.29","X2020.05.30","X2020.05.31","X2020.06.01","X2020.06.02","X2020.06.03","X2020.06.04","X2020.06.05","X2020.06.06","X2020.06.07","X2020.06.08","X2020.06.09","X2020.06.10","X2020.06.11","X2020.06.12","X2020.06.13","X2020.06.14","X2020.06.15","X2020.06.16","X2020.06.17","X2020.06.18","X2020.06.19","X2020.06.20","X2020.06.21","X2020.06.22","X2020.06.23","X2020.06.24","X2020.06.25","X2020.06.26","X2020.06.27","X2020.06.28","X2020.06.29","X2020.06.30","X2020.07.01","X2020.07.02","X2020.07.03","X2020.07.04","X2020.07.05","X2020.07.06","X2020.07.07","X2020.07.08","X2020.07.09","X2020.07.10","X2020.07.11","X2020.07.12","X2020.07.13","X2020.07.14","X2020.07.15","X2020.07.16","X2020.07.17","X2020.07.18","X2020.07.19","X2020.07.20","X2020.07.21","X2020.07.22","X2020.07.23","X2020.07.24","X2020.07.25","X2020.07.26","X2020.07.27","X2020.07.28","X2020.07.29","X2020.07.30","X2020.07.31","X2020.08.01","X2020.08.02","X2020.08.03","X2020.08.04","X2020.08.05","X2020.08.06","X2020.08.07","X2020.08.08","X2020.08.09","X2020.08.10","X2020.08.11","X2020.08.12","X2020.08.13","X2020.08.14","X2020.08.15","X2020.08.16","X2020.08.17","X2020.08.18","X2020.08.19","X2020.08.20","X2020.08.21","X2020.08.22","X2020.08.23","X2020.08.24","X2020.08.25","X2020.08.26","X2020.08.27","X2020.08.28","X2020.08.29","X2020.08.30","X2020.08.31","X2020.09.01","X2020.09.02","X2020.09.03","X2020.09.04","X2020.09.05","X2020.09.06","X2020.09.07","X2020.09.08","X2020.09.09","X2020.09.10","X2020.09.11","X2020.09.12","X2020.09.13","X2020.09.14","X2020.09.15","X2020.09.16","X2020.09.17","X2020.09.18","X2020.09.19"
"769","city","Salt Lake City","driving","","Utah","United States",100,110.87,111.84,116.86,132.36,128.42,69.85,103.4,108.28,108.35,119.4,131.25,134.19,69.6,104.44,106.81,111.27,114.24,132.72,129.75,68.3,87.53,116.54,112.13,119.61,134.58,134.89,74.69,109.63,115.77,119.18,130.8,147.3,129.31,72.96,114.65,113.54,121.05,127.16,147.82,142.2,80.79,115.26,120.83,123.84,126.63,147.42,141.12,71.37,113.59,120.05,121.17,131.34,144.06,139.79,75.81,110.39,116.08,116.62,108.72,114.22,102.61,60.41,86.25,80.74,69.23,72.77,78.45,71.99,44.49,64.69,65,61.9,62.16,72.08,59.7,39.98,60,64.36,64.29,62.96,73.23,60.38,39.23,62.64,65.68,71.25,68.76,81.12,69.85,37.84,66.13,71.35,70.05,72.41,87.4,82.05,49.53,80,80.73,80.56,80.41,94.82,88.45,57.46,82.56,87.02,89.21,92.12,104.85,98.06,62.19,95.96,100.01,101.07,103.15,118.91,111.34,63.2,NA,NA,109.63,113,128.99,120.77,77.64,114.2,116.94,117.04,127.66,136.26,120.27,81.46,103.87,123.28,129.26,134.39,146.36,131.55,79.46,124.29,126.04,132.01,136.73,150.61,135.13,80.89,125.83,135.9,138.25,143.16,155.72,143.23,97.79,134.42,137,141.06,148.96,166.07,153.16,90.96,142.94,147.92,150.14,154.74,170.96,157.65,96.54,140.3,148.05,153.83,159.77,147.96,108.65,93.04,144.43,149.87,151.61,155.84,167.95,157.31,102.26,146.32,150.41,154.56,157.05,174.27,161.01,103.71,149.28,151.49,151.09,159.46,149.88,148.4,102.96,147.89,154.09,158.03,165.4,179.7,170.03,108.38,152.32,158.62,159.94,169.68,195.04,172.89,108.89,153.27,158.6,163,167.01,184.6,172.1,110.03,154.78,158.22,161.4,169.65,186.47,175.87,107.37,150.86,151.23,153.37,159.18,185.85,179.86,106.68,143.44,149.75,151.41,162.07,186.1,166.19,105.91,126,136.68,154.11,160.89,184.23,189.17,107.77,145.57,148.95,153.52,160.08,181.81,179.61
"770","city","Salt Lake City","transit","","Utah","United States",100,105.63,103.8,103.43,112.68,96.31,62.27,89.63,100.25,97.67,103.01,99.64,95.32,59.81,96.31,94.4,96.86,101.78,108.63,88.99,60.94,99.3,97.63,108.29,104.81,99.5,87.88,58.59,96.77,97.36,102.4,100.32,106.9,86.44,59.13,94.8,95.61,98.82,99.43,112.68,97.26,61.1,98.82,101.99,112.3,107.94,111.64,98.12,58.14,104.47,102.22,101.45,109.85,112.48,95.07,62.97,97.38,90.14,87.37,79.48,73.98,62.91,44.42,59.43,51.47,43.19,38.81,38.67,32.42,26.63,33.72,36.07,33.57,31.24,31.4,26.67,21.59,30.43,30.63,30.85,29.29,28.96,24.57,25.27,31.08,30.74,30.54,27.06,30.52,27.91,20.91,30.51,28.53,26.94,26.18,28.91,26.18,21.81,32.32,31.19,30.61,29.2,31.71,27.39,25.74,35.49,32.53,35.15,34.11,35.46,34.45,28.35,36.75,39.69,39.4,37.09,40.64,38.86,26.17,NA,NA,39.13,44.3,43.79,41.98,35.26,45.75,41.93,40.98,45.28,42.9,37.52,31.38,39.8,48.83,46.38,45.36,44.92,44.12,31.6,47.13,46.56,51.81,51.76,50.23,41.55,31.35,45.1,49.75,53.91,54.11,56.01,47.24,40.55,55.72,53.28,51.97,51.87,55.76,49.37,36.66,63.24,56.15,57.75,53.93,54,52.83,36.3,55.15,55.04,52.04,54.3,49.82,39.17,35.51,57.48,56.8,53.69,53.3,54.81,47.92,38.32,52.91,56.89,53.62,53.1,56.29,49.48,38.24,60.11,56.47,52.19,58.72,49.84,46.45,38.34,56.01,59.65,58.07,57.66,57.57,50.2,42.93,60.69,60.44,60.38,58.52,62.95,49.98,40.96,60.42,59.29,60.85,59.65,58.95,58.34,46.29,67.29,67.72,68.17,64.47,70.18,63.63,58.45,87.98,77.1,74.03,70.43,77.49,67.74,47.61,68.81,69.96,67.92,68.19,74.01,64.37,47.7,57.05,62.59,69.12,68.74,68.04,65.55,44.58,68.6,67.41,69.84,72.9,73.94,73.01
"771","city","Salt Lake City","walking","","Utah","United States",100,109.15,119.97,132.89,153.27,160.24,80.34,107.38,109.39,108.85,123.67,147.96,168.55,80.93,112.29,114.39,114.73,129.92,157.36,159.53,78.21,77.39,108.4,108.88,108.87,146.33,159.69,86.02,111.72,117.95,126.26,136.86,176.83,170.01,81.55,115.81,111.92,122.01,130.59,172.02,180.02,101.76,119.41,128.72,142.32,141.36,177.51,178.05,78.95,122.52,135.57,150.12,156.88,175.65,175.89,87.51,115.92,123.93,115.78,117.14,119.6,116.19,68.6,93.9,92.6,66.95,73.44,78.41,78.12,52.5,69.55,68.05,61.33,60.04,75.82,62.04,45.35,67.92,70.91,68.79,66.78,80.46,68.47,46.16,70.1,79.29,80.1,71.32,87.9,81.99,45.5,67.44,74.54,70.23,70.43,88.35,87.05,52.14,87.09,87.32,86.52,79.22,99.52,96.09,62.66,88.68,88.92,95.61,97.78,107.72,109.35,68.55,104.82,112.55,104.72,110.74,128.7,126.7,68.57,NA,NA,124.53,125.59,145.42,141.4,86.48,132.6,133.79,130.22,146.29,151.49,142.07,92.4,118.03,146.38,150.2,163.17,171.12,159.35,86.71,146.98,144.39,156.77,165.4,169.21,155.53,91.01,135.95,155.56,156.42,159.45,180.94,168.72,111.69,152.38,152.32,158,164.26,202.65,181.53,96.07,161.56,169.76,170.78,172.57,196.77,182.53,104.59,160.43,166.92,176.9,170.9,167.74,125.98,103.45,166.08,169.18,173.65,179.68,194.16,183.85,111.71,171.87,180.63,180.51,176.44,198.87,181.91,111.84,172.49,173.93,172.73,180.84,173.92,174.68,109.46,174.28,179.16,185.25,187.94,200.65,193.37,119.86,171.05,170.52,175.25,186.82,213.34,198.63,118.98,174.12,182.63,185.85,192.82,217.54,209.02,130.55,179.12,192.43,195.42,199.41,231.44,219.87,129.73,192.45,182.17,184.29,188.87,222.5,221.55,118.43,164.03,181.7,184.51,183.7,215.57,210.07,123.24,143.48,148.83,174.56,182.76,223.78,234.44,126.37,171.58,174.53,180.31,189.02,219.72,234.79
"2273","county","Box Elder County","driving","","Utah","United States",100,93.06,117.21,125.88,182.04,178.26,108.38,152.19,120.35,111.35,119.7,159.49,178.53,120.47,116.61,109.43,118.46,122.03,165.74,177.11,110.68,107.01,113.1,115.61,115.71,166.58,171.53,117.88,120.01,115.66,124.8,161.79,212.69,195.45,120.21,177.3,126.89,133.4,143.4,197.37,202.3,136.56,125.98,130.96,134,155.33,207.37,198.76,125.42,133.45,135.22,131,148.02,199.45,190.21,141.51,130.69,134.07,140.32,148.17,186.09,178.09,139.79,140.87,136.94,140.08,135.38,158.03,172.4,120.68,122.34,114.53,108.04,111.97,138.21,129.33,95.43,105.67,104.91,106.49,107.37,129.14,109.1,78.09,98.54,101.87,113.5,114.53,133.64,128.73,82.28,100.14,95.55,105.94,108.57,134.5,149.34,97.68,115.11,115.63,119.58,121.55,158.22,160.59,126.45,124.54,125.14,135.12,149.72,191.64,192.87,141.27,143.21,147.55,151.76,157.12,212.83,206.03,139.1,NA,NA,155.45,174.53,222.29,217,175.08,170.89,171.68,174.22,208.76,279.34,251.26,214.36,262.51,197.58,203.62,229.33,261.34,282.04,202.54,197.65,188.94,206.18,226.55,281.92,269.62,188.77,188.36,212.14,226.26,257.51,326.53,319.77,251.4,229.52,225.52,232.49,276.87,363.04,383.65,246.56,270.58,267.32,271.7,299.88,392.94,381.9,308.62,253.24,260.38,313.67,461.62,456.52,258.15,415.27,297.27,277.81,282.79,311.95,373.47,365.41,292.32,269.62,260.11,274.24,318.22,367.44,363.99,310.87,282.5,271.22,284.82,505.41,412.28,351.76,376.08,278.84,259.09,280.06,329.42,388.82,387.19,316.47,278.26,272.54,278.57,326.5,388.84,395.19,330.19,277.06,273.38,293.99,314.03,379.82,379.58,348.72,263.42,271.58,269.64,299.59,362.65,381.76,267.06,244.46,240.05,242.45,285.08,376.04,380.03,255.73,222.48,224.49,241.68,298.92,581.21,388.17,276.75,473.38,244.58,244.67,276.54,355.81,416.64,286.9,247.59,248.12,250.04,277.47,366.67,367.99
"2348","county","Cache County","driving","","Utah","United States",100,100.37,111.89,108.48,138.1,136.51,78.94,118.81,104.77,102.94,109.56,135.84,151.29,71.67,100.87,101.08,111.29,105.91,136.53,142.99,71.18,82.28,103.06,97.89,99.31,152.63,145.12,75.17,104.57,107.34,111.03,128.88,151.79,130.09,73.47,123.21,104.4,112.27,116.82,157.11,173.01,87.95,109.19,117.43,121.75,125.66,161.23,148,70.79,99.69,107.55,105.48,105.99,131.98,130.3,76.54,111.6,116.93,115.84,113.97,130.63,114.86,66.9,104.95,103.68,96.74,92.39,101.44,99.73,54.26,87.57,79.86,79.41,86.47,97.11,81.75,53.25,78.66,80.52,83.72,78.3,99.5,77.45,49.56,81.84,84.97,91.23,94,109.52,91.02,49.03,88.84,94.96,94.85,91.39,109.25,114.47,66.94,106.05,102.99,108.04,102.71,130.58,123.83,79.48,109.6,113.39,123.7,127.09,149.04,143.21,83.65,131.28,128.73,130.7,131.04,155.75,153.42,80.55,NA,NA,134.8,144.79,173.41,166.4,105.48,147.09,155.25,147.69,161.79,185.43,164.3,124.5,165.69,162.28,166.56,169.18,201.93,199.79,113.78,170.42,160.75,163.86,173.97,201.24,163.62,99.91,153.27,165.21,179.57,187.48,216.28,192.97,128,175.13,157.98,166.75,194.51,250.52,251.22,122.15,192.7,193.47,193.21,198.23,232.26,220.65,132.11,182.28,180.21,202.5,212.66,251.77,167.53,141.97,200.02,201.5,203.68,215.19,259.87,265.26,158.73,205.89,201.27,211.49,214.63,238.37,232.81,149.53,202.87,200.1,197.24,226.31,226.39,209.13,153.69,209.04,188.53,207.65,239.68,278.1,275.41,154.94,203.63,211.09,221.34,223.95,268.08,257.55,154.21,209.29,208.55,215.82,219.01,262.67,256.55,162.11,213.45,218.18,219.11,229.78,268.47,306.28,178.62,254.51,261.77,248.86,259.65,305.34,335.66,184.51,234.5,232.26,232.6,299.28,314.47,277.11,167.36,231.04,216.76,227.42,235.96,311.71,324.09,160.39,220.96,209.47,226.56,237.11,287.71,289.7
"2667","county","Davis County","driving","","Utah","United States",100,103.97,109.45,122.02,136.68,134.64,68.57,106.48,106.48,107.02,118.61,136.19,148.51,68.4,109.33,109.12,117.61,114.65,139.88,143.19,67.63,101.12,123.37,113.7,140.83,144.1,152.24,74.16,112.2,116.62,118.72,131.7,151.08,136.22,71.46,120.89,115.96,120.48,128.9,162.7,167.13,82.74,120.43,121.29,120.02,128.5,160.31,164.34,72.49,117.96,125.24,123.39,131.02,155.93,156.89,79.27,114.77,124.41,122.72,117.47,132.16,119.98,67.76,100.64,95.72,83.84,86.97,97.86,97.43,59.36,83.79,79.16,78.11,76.48,93.84,78.57,49.07,78.47,83.05,81.81,77.52,89.59,73.22,47.17,77.56,82.12,84.96,88.92,102.65,90.08,46.09,84.95,89.65,90.06,90.33,111.81,108.83,64.36,99.77,104.65,105.34,104.69,123.04,118.13,71.96,105.72,112.18,117.56,120.58,135.13,129.06,75.82,125.75,129.64,139.95,132.66,152.78,148.46,78.11,NA,NA,144.26,144.39,161.29,157.26,95.36,147.11,148.2,149.52,162.66,178.1,152.28,103.16,136.79,159.32,161.8,172.24,189.81,174.76,103.38,163.91,162.88,165.14,174.91,193.03,176.85,96.64,160.49,175.25,178.51,186.76,204.76,191.87,120.33,176.83,176.54,179.03,188.24,215.54,206.81,117.86,185.82,197.89,202.75,218.38,245,218.26,127.41,182.35,193.28,201.68,220.52,200.15,141.27,119.2,192.42,192.85,195.69,208.51,221.22,211.72,129.71,188.59,196.63,198.94,212.43,233.99,216.23,132.64,192.16,198.31,197.11,212.58,200.76,194.29,127.75,187.18,193.37,205.28,219.71,235.99,217.62,132.09,192.96,195.26,195.91,210.26,255.11,213.88,132.58,195.79,200.98,213.98,214.28,239.97,218.65,133.93,194.78,194.8,199.27,221.28,229.07,222.61,126.15,187.65,186.08,184.16,194.16,248.76,233.83,124.63,172.95,179.54,184.84,203.75,257.52,216.53,125.49,171.21,159.12,184.2,196.13,236.51,235.19,120.55,181.03,180.4,192.99,194.57,227.97,223.29
"2668","county","Davis County","walking","","Utah","United States",100,101.07,109.99,138.53,151.04,164.11,87.81,111.88,113.7,112.38,129.16,142.36,180.64,76.24,113.45,110.31,116.09,112.01,168.51,172.22,82.21,88.31,113.14,112.45,112.57,148.9,182.02,91.14,121.75,130.23,123.19,133.75,171.84,149.78,77.31,148.84,129.23,127.53,126.46,174.73,193.46,100.5,130.42,144.81,124.95,153.49,172.91,185.29,82.59,128.16,146.7,136.58,153.05,180.33,220.74,106.98,141.61,157.64,152.36,145.32,162.35,154.49,76.56,132.94,133.69,100.94,101.51,113.95,112.45,75.42,109.62,105.34,89.75,91.83,121.81,97.11,60.53,108.67,108.93,104.78,93.21,111.69,97.67,68.38,101.95,111.63,125.52,124.83,137.84,116.09,76.49,117.03,101.51,116.09,109.81,136.58,136.33,83.03,128.47,155.5,155.63,133.06,158.01,138.4,87.12,151.73,158.71,147.52,143.12,178.76,174.1,95.41,179.76,177,173.73,199.5,232.24,210.43,94.78,166,149.21,214.27,199.31,237.9,214.9,128.79,213.64,218.16,214.52,234.13,240.48,200.13,143.43,187.05,225.08,236.27,262.92,249.34,249.34,146.83,253.74,234.7,253.24,248.59,260.03,226.27,128.79,235.07,276.24,246.64,252.55,272.85,256.51,149.84,260.4,249.97,244.5,252.99,307.98,281.71,140.79,274.73,272.6,289.82,299.87,327.34,271.53,157.01,265.93,262.98,267.5,272.66,270.27,198.87,148.96,270.52,264.93,261.85,262.29,306.16,270.52,154.75,267.13,275.49,283.66,277.06,297.67,273.6,154.24,277.5,277.75,279.76,279.01,288.31,251.67,161.35,263.8,277.94,304.34,294.53,316.97,283.78,164.17,266.56,278.82,285.54,291.39,327.15,286.8,179.38,280.58,304.9,329.23,324.01,341.23,299.43,167.76,275.55,294.59,290.57,285.29,306.54,304.27,156.95,276.56,272.03,262.35,257.07,326.52,325.2,146.07,247.83,281.77,281.4,288.37,314.08,327.28,149.97,217.03,195.66,265.62,290.89,330.36,335.39,168.13,250.53,256.57,275.49,271.84,307.98,312.95
"2914","county","Garfield County","driving","","Utah","United States",100,96.83,101.93,111.87,112.58,150.31,187.6,161.83,110.2,113.9,101.5,108.44,146.17,146.88,112.75,105.63,111.43,105.54,102.37,135,156.99,103.08,111.7,98.94,92.08,104.66,146.79,159.89,118.38,109.32,115.48,109.15,142.3,231.05,260.86,201.41,150.57,137.2,121.9,145.56,163.85,208.27,132.54,129.55,133.86,140.11,156.55,180.65,221.55,139.58,157.43,165.88,164.12,165.7,197.1,252.33,207.48,215.39,203.87,169.83,176.69,196.31,209.41,194.81,224.63,176.87,140.02,123.92,136.15,142.13,99.03,97.63,104.75,93.84,97.45,111.7,96.48,67.19,73.35,70.62,75.81,77.75,96.92,76.34,60.69,57.78,46.61,54.18,65.08,59.72,60.51,44.42,41.86,46,51.19,49.6,71.94,70.36,52.07,55.32,57.52,84.52,102.81,124.54,136.94,92.61,81.53,97.1,111.43,136.24,193.49,202.29,113.02,115.57,156.55,184.78,228.14,285.22,245.38,NA,NA,219.35,240.37,352.59,425.42,439.58,282.41,295.16,320.05,380.47,540.11,730.43,688.21,648.55,413.72,407.04,431.57,515.66,511.7,541.42,360.77,374.49,398.24,431.84,479.33,590.41,543.1,422.16,453.39,456.64,494.02,587.07,683.11,706.42,539.4,524.98,555.94,630.26,619.96,699.38,659.37,542.39,534.21,609.41,654.71,667.55,757.96,728.41,509.67,554.27,586.81,623.57,712.75,672.3,701.41,559.72,580.21,537.99,554.09,663.76,713.81,708.88,555.76,521.72,561.92,593.14,655.06,725.07,721.37,543.98,560.69,574.93,614.42,661.65,785.84,743.71,552.15,566.75,593.93,614.25,605.01,742.04,677.4,574.05,537.12,567.9,562.36,614.95,701.67,712.23,537.03,529.55,567.28,570.54,612.58,678.1,652.86,483.82,494.28,497.8,459.01,504.05,573.26,554.79,432.45,431.75,401.23,378.19,434.3,547.14,514.86,409.23,440.46,429.2,471.15,651.8,855.94,882.85,756.02,495.95,504.05,565.96,561.48,676.78,710.2,598.15,648.02,658.22,661.65,686.19,779.95
"2955","county","Grand County","driving","","Utah","United States",100,97.87,107.69,111.81,122.29,160.02,168.92,143.66,95,98.53,102.24,129.05,144.87,144.54,109.82,110.04,109.34,103.31,122.29,161.6,150.53,98.86,108.09,105.48,104.6,111.51,134.06,147.19,110.08,103.71,123.83,137.18,200.29,275.95,260.9,223.69,141.19,131.08,144.61,176.54,187.31,187.75,144.65,139.17,136.15,155.02,205.19,247.44,249.36,184.22,184.66,182.79,194.15,267.01,332.07,313.72,245.42,245.31,243.25,256.86,345.57,433.95,444.98,408.24,357.37,296.87,183.96,166.16,156.38,138.87,108.94,114.75,109.3,89.74,91.72,97.24,80.1,53.29,60.13,68.78,56.9,62.27,70.5,67.75,56.86,54.43,59.58,63.99,76.13,75.17,57.15,61.02,59.91,59.95,66.94,81.87,86.87,87.35,66.31,72.97,82.16,88.08,101.95,128.28,117.65,88.27,89.63,103.31,116.99,155.28,178.6,157.93,129.79,132.44,132.81,175.03,214.23,251.78,201.25,NA,NA,189.85,233.28,305.77,326.37,304.6,248.33,229.35,250.5,310.37,463.66,531.89,512.36,453.03,297.35,308.97,370.83,479.07,517.62,476.5,373.89,366.97,378.67,421,487.24,540.53,535.64,455.31,441.12,457.23,498.31,591.54,604.71,587.72,500.55,482.38,505.63,534.57,616.15,628.03,586.47,528.69,528.14,539.06,566.64,650.46,712.39,681.76,572.97,546.38,550.39,616.62,681.46,581.24,661.13,569.62,548.69,512.43,542.41,600.51,609.67,596.4,525.74,497.35,526.11,525.67,615.96,651.23,593.01,527.11,510.19,553.73,565.39,604.97,681.76,694.45,567.82,538.25,539.39,565.76,592.13,637.96,630.97,666.61,548.14,558.15,560.24,597.65,631.78,630.19,568.66,540.93,548.73,551.27,552.59,574.55,540.16,455.28,418.28,441.41,423.39,440.75,454.06,426.33,359.1,374.7,351.97,379.92,423.13,445.2,442.7,392.79,399.15,406.03,461.2,624.42,733.87,710.22,652.37,508.28,476.87,530.89,604.23,667.97,656.79,556.56,538.58,543.07,612.76,685.51,723.17
"3178","county","Iron County","driving","","Utah","United States",100,96.93,104.92,139.25,191.7,157.83,130.48,163.07,99.82,102.25,121.4,161.59,147.14,119.77,101.92,101,101.77,117.63,158.14,152.31,112.41,98.81,96.53,99.25,119.26,163.97,142.24,125.78,105.26,102.89,112.81,162.51,281.38,204.55,163.99,258.43,117.07,110.89,146.79,190.54,180.87,151.25,119.9,102.05,112.77,149.21,184.89,171.93,142.57,117.07,114.95,123.95,161.94,204.09,179.59,163.62,127.46,120.87,142.79,172.94,196.18,172.72,153.39,145.5,142.57,137.35,122.07,131.1,111.88,100.84,92.86,94.24,89.22,91.92,100.91,91.1,78.66,81.78,89.11,89.38,91.52,103.62,86.55,75.83,81.62,79.7,77.53,85.78,101.55,88.03,59.31,81.53,81.31,93.37,94.96,111.4,98.23,88.18,92.82,92.29,98.23,121.05,140.12,132.12,107.98,112.17,107.88,125.32,145.28,180.07,158.41,132.25,123.31,123.77,132.63,158.01,186.19,169.72,133.78,NA,NA,147.98,183.61,222.53,195.89,186.24,165.12,171.37,170.64,224.67,355.16,306.56,236.8,282.99,198.41,191.49,223.9,271.08,235.52,215.49,186.21,185.71,186.77,225.53,275.81,255.91,224.54,208.37,191.34,208.57,273.65,324.72,297.81,256.92,219.37,206.07,223.19,250.85,406.34,282.92,249.04,246.37,222.04,230.75,280.72,356.68,329.23,290.24,236.78,241.35,266.07,330.5,379.33,257.92,326.15,272.45,250.03,236.74,261.92,342.86,312.7,281.66,248.62,227.86,241.7,284.4,380.3,355.98,420.19,256,232.85,252.51,293.28,319.53,301.96,303.91,249.61,242.13,251.42,290.04,374.64,365.67,305.48,263.05,229.6,257.12,305.97,377.22,379.02,307.42,256.48,236.58,248.73,275.17,374.18,325.54,298.61,236.63,221.16,222.04,291.08,330.93,312.48,271.51,211.84,201.7,196.56,241.6,334.97,358.62,258.85,219.4,212.61,233.69,304.57,556.81,555.02,371.11,498.85,251.49,247.49,300.73,394.99,409.01,292.03,254.7,237.68,259.44,284.12,340.42,349.37
