geo_type,region,transportation_type,alternative_name,sub-region,country,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24
city,Columbia,driving,NA,South Carolina,United States,100,102.64,107.02,115.48,128.55,112.31,82.73,98.52,99.13,100.77,109.54,121.21,116.96,78.88,95.2,100,102.72,115.28,124.96,122.47,84.64,99.47,104.53,105.19,96.14,129.12,121.18,87.51,104.99,111.1,111.49,124.28,153.77,128.86,88.41,106.18,107.79,117.05,111.62,137.49,132.27,89.78,99.81,110.45,113.43,122.37,154.26,157.21,100.58,107.41,110.04,112.77,116.79,152.7,142,88.84,102.63,105.91,108.84,112.6,124.62,110.48,76.06,88.85,80.76,76.34,77.99,83.37,69.52,47.38,58.99,57.74,64.14,64.87,74.19,63.86,45.06,58.76,56.5,59.32,61.25,69.61,57.96,44.43,61.42,58.45,56.68,62.74,67.63,58.01,35.61,62.41,67.7,70.87,72.53,81.91,71.79,49.92,70.27,74.58,75.63,71.84,87.37,78.68,60.87,77.8,81.56,80.77,86.15,97.74,88.23,68.49,87.23,89.67,92.8,97.08,107.29,103.18,72.95,NA,NA,103.04,109.23,124.72,114.21,89.28,104.67,106.83,105.09,118.1,134.93,124.83,89.15,92.97,111.88,107.89,122.95,128.19,129.88,94.2,116.94,114.65,119.59,125.76,145.47,136.5,100.39,121.03,125.58,121.44,126.16,148.63,140.16,104.84,119.95,119.5,124.22,127.87,150.48,149.98,99.3,123.87,125.79,126.24,133.43,151.78,148.69,110.92,127.02,130.05,134.61,144.56,141.1,110.95,102.05,125.28,121.7,125.25,134.38,150.4,146.39,106.28,125.18,127.92,131.88,136.61,156.99,155.2,111.03,124.37,130.52,130.66,136.73,152.3,148.41,109.85,129.6,131.91,135.21,137.38,153.85,149.84,108.37,125.8,133.93,132.15,141.23,158.62,155.07,122.01,139.17,141.81,142.44,145.86,171.72,167.28,141.25,161.44,158.24,155.2,169.23,178.11,166.71,125.99,142.19,144.22,141.82,147.85,168.99,154.38,116.94,133.15,138.07,139.74,152.86,180.88,153.72,118.85,122.1,136.09,133.83,144.81,166.83,162.54,117.23,134.94,136.55,134.46,127.73,162.83,158.04,115.11,126.53,129.48,128.92,137.58
city,Columbia,walking,NA,South Carolina,United States,100,91.71,76.74,74.94,75.16,71.45,44.19,51.92,54.62,58.19,63.04,64.51,77.3,41.18,53.24,58.56,59.15,81.14,63.73,78.83,44.42,50.9,56.64,58.57,49.45,77.96,81.92,42.69,57.19,59.66,55.9,62.25,89.3,85.71,41.28,54.51,55.24,55.27,53.68,71.64,84.58,40.69,48.12,55.36,55.93,62.37,86.27,131.71,46.79,49.57,50.67,55.57,54.03,70.55,75.92,36.94,43.7,43.88,45.4,46.43,50.86,52.94,30.45,36.11,32.85,31.33,33.56,34.25,32.3,21.18,22.45,21.72,30.36,27.55,29.78,28.18,20.57,25.32,23.24,25.31,28.94,30.83,25.87,23.14,28.57,27.29,28.89,29.52,30.26,28.31,14.78,27.54,31.89,32.23,33.79,38.48,32.15,21.59,30.64,34.16,32.62,28.99,36.67,34.65,27.76,32.71,34.73,34.45,33.63,43.23,38.61,29.7,38.97,38.4,40.61,40.59,45.76,45.87,30.65,NA,NA,47.54,48.99,58.42,57.46,41.82,51.8,49.45,48.09,56.14,62.3,61.1,42.09,43.56,53.81,50.1,55.39,58.93,71.41,43.66,51.92,53.3,53.62,55.57,67.47,60.66,43.53,54.25,60.02,54.86,60.65,67.31,64.03,48.26,55.69,51.54,53.7,55.76,67.19,69.53,42.29,55.2,60.95,56.9,62.65,68.22,69.21,47.11,59.23,61.87,61.86,62.98,68,53.19,45.92,55.27,57.79,58.08,63.56,70.43,67.82,47.51,59.67,59.7,64.34,63.58,73.68,74.35,46.88,58.87,60.1,60.4,64.87,72.21,71.33,51.07,62.83,66.42,65.24,65,74.51,73.8,50.18,60.25,71.17,64.92,72.25,80.79,86.27,70.14,90.22,91.81,96.04,86.49,103.41,110.99,111.41,149.58,151.13,163.02,191.48,163.29,120.02,88.05,152.62,130.35,113.13,106.97,108.02,98.12,64.91,89.01,89.45,87.79,91.68,100.8,89.26,68.93,72.78,84.32,83.18,91.93,102.12,100.75,66.09,78.85,86.76,79.4,76.41,99.44,100.37,63.21,81.63,79.78,78.64,83.5
city,Greenville,driving,NA,South Carolina,United States,100,103.01,105.67,112.91,128.53,115.23,85.25,107.11,105.05,110.47,111.52,117.82,126.88,80.84,99.38,106.97,105.6,111.9,120.88,127.72,81.78,103.55,106.01,106.61,100.47,127.37,101.12,83.9,109.1,110.18,113.46,122.8,153.77,139.69,92.54,113.13,110.75,112.31,103.42,142.6,143.49,94.1,103.84,114.57,119.64,133.26,149.06,153.92,95,110.81,113.02,117.56,120.65,147.62,144.97,105.5,115.82,119.08,120.36,120.41,132.26,123.49,77.03,89.22,84.84,78.38,78.17,86.74,72.19,47.16,60.36,61.31,68.1,68.81,78.15,66.23,48.52,66.14,64.6,67.58,66.85,73.57,61.62,45.98,64.83,63.21,62.1,66.68,71.3,59.79,32.94,67.42,72.95,77.98,78.03,84.81,75.69,50.83,75,80.61,81.81,72.86,94.08,78.9,64.67,85.49,88.13,85.15,94.14,104.77,92.95,72,95.09,97.59,104,106.21,110.65,109.94,74.28,NA,NA,110.09,116.15,132.93,122.17,90.67,108.19,115.93,114.68,126.81,140.94,129.4,92.56,95.04,125.52,125.53,131.94,147.84,141.59,102.66,132.31,132.81,137.04,139.56,153.62,141.38,104.35,135.8,139.97,132,143.7,158.17,146.52,105.32,134.32,134.41,138.57,143.08,165.67,148.57,102.26,135.38,137.01,140.39,148.48,161.12,145,108.57,136.77,145.94,146.78,154.36,143.2,104.58,98.8,130.73,134.7,144.66,149.13,164.02,150.97,109.75,136.92,145.41,145.33,149.68,166.04,148.76,110.5,139.86,141.44,146.22,152.03,163.63,153.67,116.87,143.62,147.43,146.75,150.36,161.79,152.72,114.44,146.28,158.99,159.19,159.61,172.96,160.54,118.05,143.98,148.14,154.97,159.11,174.34,171.2,128.67,143.3,146.55,149.22,153.15,163.69,162.98,116.07,134.87,139.27,144.85,148.96,167.69,159.51,112.3,134.71,143.55,145.38,151.71,172.67,159.4,122.71,113.67,141.49,142.16,147.34,170.88,156.1,112.75,139.97,143.16,142.74,130.59,169.1,162.75,114.67,131.96,142.31,140.51,140.62
city,Greenville,walking,NA,South Carolina,United States,100,111.79,111.73,111.33,145.7,173.6,121.65,120.18,107.3,109.89,105.75,133.27,197.57,98.21,97.84,104.2,107.08,111.73,130.14,201.92,95.4,104.6,105.8,106.12,87.41,150.45,153.69,101.02,103.18,119.88,115.71,128.62,224.4,255.08,127.74,127.04,110.56,115.66,102.03,182.71,266.54,111.97,98.21,122.1,129.02,162.69,184.47,270.82,118.36,105.51,117.45,127.69,134.85,190.43,242.01,135.22,120.68,124.45,131.29,130.63,164,202.97,90.01,93.61,84.82,74.59,71.46,90.7,85.97,42.49,53.66,53.13,65.85,71.94,73.68,77.69,49.31,62.56,56.6,68.6,63.44,69.27,62.4,47.76,67.08,59.11,63.63,62.03,66.76,61.25,30.46,66.73,70.31,76.48,72.5,80.55,74.8,44.71,68.95,70.66,74.64,60.21,83.94,69.13,64.43,88.3,81.8,73.86,86.75,98.18,98.5,69.78,91.66,89.07,106.39,99.17,106.47,126.64,86.34,NA,NA,124.1,123.62,159.01,162.37,115.69,117.13,124.16,121.78,150.45,174.83,204.65,123.46,112.67,144.49,146.87,148.61,192.28,235.46,152.86,155.85,149.92,157.11,164.35,188.54,204.6,122.26,148.53,161.68,158.82,171.91,212.93,236.24,129.88,144.63,143.43,162.24,166.27,219.08,221.27,125.12,150.32,159.03,162.24,177.07,212.35,221.86,132.26,149.68,163.87,163.01,176.27,188.24,143.51,118.17,145.32,149.28,169.64,170.47,211.38,212.32,126.67,159.19,169,157.06,170.52,206.23,213.2,128.81,152.14,144.92,161.76,175.65,202.94,227.42,151.02,169.72,173.97,171.73,177.1,211.89,223.7,144.04,172.31,189.5,190.14,200.4,229.02,252.94,149.79,164.97,178.73,187.04,193.32,238.46,268.79,168.95,170.55,177.58,172.15,183.75,212.69,275.55,148.13,145.56,162.51,168.41,173.68,225.76,258.58,141.5,150,167.53,167.05,177.95,224.08,293.32,199.44,146.5,165.21,153.29,164.59,242.41,236.58,145.78,153.02,164.56,165.47,147.84,230.68,261.87,157.7,155.93,158.28,169.19,156.52
county,Abbeville County,driving,NA,South Carolina,United States,100,110.87,112.13,119.64,147.9,118.02,89.97,114.8,119.35,111.99,116.41,123.63,138.36,90.18,110.17,125.04,116.55,123.21,145.16,145.79,111.57,112.13,118.16,123.7,99.86,130.5,129.17,101.12,115.71,112.83,112.69,130.65,166.2,153.72,103.02,125.04,100.63,120.13,115.99,149.65,163.6,102.31,111.57,118.65,137.59,131.91,162.55,148.53,100.63,123.84,106.59,121.53,114.87,139.83,149.65,112.34,127.91,127.07,135.06,135.62,146.21,145.93,89.48,108.42,105.33,108.49,106.52,113.11,104.63,72.23,91.58,80.79,106.66,97.69,111.36,115.57,92.64,98.74,93.69,98.74,87.59,103.37,100.7,79.45,98.46,91.87,102.1,94.32,110.03,106.45,47.55,101.4,100.35,110.24,108.7,122.86,127.07,71.74,102.31,110.87,125.53,93.13,122.09,126.37,109.68,114.59,116.62,120.27,124.82,143.48,150.7,119.85,126.23,134.71,142.43,135.27,151.61,152.95,106.94,NA,NA,152.45,155.96,156.94,183.45,158.49,127.42,139.55,133.94,145.51,176.16,190.88,138.85,136.75,156.87,163.88,172.09,186.75,192.22,136.75,161.85,169.99,160.17,153.72,176.86,181.7,155.61,165.99,166.83,163.53,164.38,183.94,181.7,139.62,151.82,154.14,156.59,182.26,183.45,206.52,150.07,151.82,167.04,166.06,181.07,215.08,191.23,159.54,167.74,163.32,174.12,203.58,184.15,180.79,145.16,156.59,164.31,178.19,183.45,207.78,188.85,142.92,174.05,176.86,177.91,172.3,183.24,204.49,143.2,167.04,170.06,174.68,169.57,193.69,198.11,158.7,158.7,179.87,186.26,178.82,200.49,177.63,148.18,158.56,177.63,187.17,175.6,195.16,206.59,154.63,166.27,160.94,174.82,180.36,213.04,229.59,181.56,195.37,182.26,176.02,183.87,201.19,212.76,159.96,159.26,161.08,177.7,178.68,221.53,227.28,142.99,154.49,188.36,170.06,181.77,216.13,225.67,178.26,188.01,173.63,167.39,181.7,204.56,208.06,153.79,166.48,171.53,172.79,155.19,211.5,213.67,142.85,154.63,156.1,162.9,173.63
county,Aiken County,driving,NA,South Carolina,United States,100,100.99,104.29,113.79,137.93,120.67,88.07,106.04,102.61,104.29,104.44,122.78,125.48,84.2,98.53,102.18,100.89,113.55,127.89,124.94,92.69,104.54,105.84,107.27,96.63,129.53,120.99,94.03,105.13,108.34,111.31,124.19,155.11,134.03,95.38,116.12,106.73,108.21,109.68,142.12,142.31,99.79,105.77,112.82,120.51,128.46,158.67,154.76,105.74,116.19,114.24,114.96,118.93,156.04,150.42,109.07,119.89,122.22,123.31,126.68,141.82,135.87,89.9,102.68,98.09,99.37,99.78,106.67,91.47,59.48,78.09,76.5,82.06,89.11,95.24,83.76,63.43,82.02,77.05,80.27,83.87,90.29,74.41,57.77,78.15,79.76,77.9,83.44,87.6,76.71,44.91,86.63,90.6,92.99,91.72,103.5,91.12,60.27,89.34,96.11,98.43,89.43,110.07,100.93,76.33,100.71,106.6,101.37,110.39,126.49,108.83,85.17,111.9,116.18,119.18,123.85,137.18,132.2,97.7,NA,NA,126.85,140.04,158.86,147.81,118.72,128.73,136.54,121.91,148.08,171.76,155.88,115.94,112.84,141.79,139.49,150.08,165.49,157.16,125.66,144,144.44,149.93,156.71,182.3,180.36,128.51,143.8,152.1,151.5,163.37,179.67,176.09,136.03,151.33,151.77,155.97,173.45,193.52,189.63,130.88,154.96,154.15,155.89,170.53,189.02,183.89,139.15,156.39,153.4,162.84,188.6,176.57,137.82,135.15,151.88,137.42,161.68,177.91,191.5,177.38,134.33,153.96,151.19,161.9,170.67,181.61,175.49,131.64,153.96,147.03,157.44,166.35,184.61,176.08,139.05,150.4,153.88,158.32,167.27,187.4,184.04,133.05,148.85,156.62,156.65,166.41,182.54,168.48,133.74,149.11,154.85,158.23,168.87,182.99,172.03,132.65,154.04,151.21,155.34,167.83,182.99,169.34,120.61,142.1,145.85,149.26,164.9,182.19,169.75,126.98,146.57,155.02,153.29,171.67,196.04,170.14,134.04,133.77,155.9,148.72,161.97,182.94,173.14,131.25,146.9,147.84,142.03,140.05,176.9,175.24,130.22,144.84,143.25,143.38,152.94
county,Anderson County,driving,NA,South Carolina,United States,100,105.99,103.7,114.65,143.64,117.99,91.31,115.85,107.52,106.7,111.36,126.28,123.72,87.53,103.25,105.89,105.83,115.53,134.01,128.04,90.32,105.89,108.33,105.02,97.88,134.44,106.02,95.3,109.35,108.21,112.21,121.72,167.35,142.13,102.12,121.16,112.63,114,106.25,140.6,139.6,103.44,108.69,115.87,121.65,128.85,162.34,160.17,108.89,111.61,113.51,115.31,122.77,158.43,150.58,106.76,121.49,120.04,120.87,124.71,146.16,131.21,89.38,100.79,96.38,91.43,96.66,106.6,94.47,61.98,72.97,70.97,86.42,85.07,100.36,92.05,67.78,84.5,75.33,83.43,85.69,96.58,81.77,62.62,83.09,77.17,78.14,86.33,92.48,81.68,44.75,89.86,100.31,105.38,101.63,110.91,100.36,66.15,92.28,102.1,104.87,91.23,121.3,103.84,82.86,108.69,110,104.11,119.03,133.77,126.9,102.84,120.14,117,124.58,128.56,134.56,138.99,96.29,NA,NA,130.75,137.97,155.97,155.63,122.59,124.42,129.17,128.25,147.43,171.51,172.12,126.35,120.75,145,140.98,150.58,167.31,163.26,128.06,152.81,150.63,153.57,163.29,179.41,173.7,140.09,151.69,154.46,150.77,165.05,184.84,186.18,139.25,155.04,149.95,157.69,163.44,190.32,190.25,134.68,161.19,155.23,159.93,173.53,196.34,183.52,142,168.98,167.37,171.13,183.78,188.29,163.09,143.37,186.25,153.35,160.74,168.18,192.19,183.69,143.06,165.08,165.39,164.96,168.99,203.38,184.81,145.15,158.14,156.18,162.45,174.57,187.24,178.1,143.64,157.73,160.98,157.9,164.74,188.6,183.43,142.58,165.73,173.58,175.51,177.09,194.88,186.16,145.99,160.82,161.79,170.73,179.63,206.21,194.99,160.87,173.68,171.88,167.52,165.82,193.43,184.46,138.06,154.73,158.87,159.56,165.95,190.49,176.3,140.61,149,157.24,161.53,174.8,215.56,197.06,160.02,155.51,158,152.48,163.26,203.75,187.56,149.47,160.47,160.33,157.92,148.88,204.06,189.04,140.71,148.48,153.64,158.6,160.09
county,Barnwell County,driving,NA,South Carolina,United States,100,99.11,110.56,97.47,127.43,107.88,62.75,83.57,89.07,102.45,90.71,109.67,100.07,72.49,81.78,92.12,91.75,84.61,113.46,100.67,68.03,92.79,86.99,92.19,85.8,111.45,94.28,78.81,84.31,99.41,107.51,117.4,128.33,110.48,70.93,96.28,85.43,106.62,92.04,117.92,111.08,80.89,104.83,101.86,109.29,100.07,131.97,107.14,83.79,97.62,105.13,98.51,115.54,139.26,119.18,78.51,105.5,104.24,111.9,117.62,125.2,106.39,69.29,92.57,86.91,93.53,93.75,106.32,94.87,59.78,89.29,69.81,81.56,85.87,92.94,83.12,60.74,81.12,66.1,73.53,73.16,75.54,63.64,46.69,61.86,70.63,74.13,75.46,79.41,69.67,45.5,103.64,98.07,97.1,91.15,101.12,97.92,48.25,82.97,97.84,86.32,84.39,111.52,102.08,65.35,96.8,98.44,90.86,105.95,121.49,101.71,77.84,93.46,98.29,113.01,104.31,128.18,131.97,87.36,NA,NA,116.36,138.96,160.22,135.17,110.11,116.8,123.35,120.22,145.5,168.03,146.84,108.77,98.66,131,125.8,138.81,162.97,132.42,115.09,125.87,130.71,139.93,143.79,172.94,197.4,109.89,135.84,131.15,124.39,142.3,155.46,174.87,115.69,120.97,129.59,132.42,135.46,159.11,172.49,113.31,122.01,130.33,148.77,148.4,160.07,168.77,122.75,154.8,136.65,135.32,143.57,153.09,158.51,118.81,124.61,130.26,133.68,160.15,152.86,152.19,118.88,148.77,152.71,157.7,148.92,169.89,163.64,120.07,131.52,142.45,130.93,144.98,164.54,156.06,118.59,154.42,148.92,158.66,155.02,155.32,158.74,112.19,124.24,133.31,131.82,160.37,145.43,151.45,109.59,130.86,139.41,135.76,161.64,155.02,142.83,109.22,129.29,140.3,131.3,143.35,152.42,145.2,99.85,120.89,137.84,140.3,132.34,158.44,151,112.19,131.08,126.91,132.57,144.76,160.37,174.87,112.12,119.26,125.13,117.77,133.98,155.24,157.25,100.45,130.86,132.19,113.16,125.8,160.52,161.71,122.08,128.85,131.3,120.82,127.14
county,Beaufort County,driving,NA,South Carolina,United States,100,104.57,110.43,114.43,136.45,132.16,101.74,112.12,103.36,105.12,107.35,115.65,113.11,85.68,95.71,99.08,105.59,110.53,124.6,115.08,86.04,101.73,106.17,107.78,112.66,127.91,124.48,95.65,112.68,113.06,117.18,129.94,164.71,154.12,120.33,127.41,118.43,115.76,118.79,140.34,131.65,105.63,117.52,114.79,123.73,134.39,165.33,150.92,123.81,125.88,127.51,122.85,130.1,160.75,158.37,129.83,141.34,146.91,150.75,152.75,167.09,161.63,124.66,127.77,115.7,105.89,102.07,102.85,84.17,59.32,72.2,73.82,72.63,71.98,80.23,67.48,55.38,68.55,66.75,66.23,67.48,71.74,60.67,49.07,64.55,63.43,62.92,65.43,71.51,60.26,38.34,62.17,73.29,69.2,75.92,82.07,75.6,48.32,72.17,84.09,82.14,76.23,93.56,88.03,74.61,90.67,90.85,92.52,93.58,113.73,110.64,98.92,115.51,118.32,118.18,122.54,139.1,143.42,113.24,NA,NA,139.45,154.51,177.04,199.95,167.51,169.7,168.48,163.55,181.5,240.73,271.46,229.57,206.1,200.74,186.49,191.75,212.45,229.13,190.95,209.08,201.11,207.09,226.11,238.12,282.3,219.51,219.92,216.52,225.75,232.68,251.07,304.28,230.32,244.07,256.3,233.34,246.74,273.6,336.2,236.98,249.13,252.96,252.6,267.05,270.3,317.02,237.42,244.05,245.31,247.51,270.04,278.89,280.17,244.46,239.79,236.94,237.74,243.99,262.62,314.03,223.84,238.59,238.35,242.04,248.53,272.79,322.62,235.38,236.03,238.83,233.6,245.06,264.17,310.5,225.94,233.97,230.66,227.11,236.03,245.9,293.81,201.69,195.83,208.66,230.66,230.19,253.84,275.89,207.43,209.13,213.33,212.29,221.47,239.46,250.79,190.49,193.32,191.71,189.22,197.95,225.12,226.71,177.69,171.18,173.35,179.23,189.79,212.71,214.15,162.62,170.81,174.38,177.19,199.06,250.36,270.33,226.39,207.1,182.8,171.81,183.12,207.16,219.33,166.97,176.58,176.63,176.73,176.39,211.13,220.57,174.17,177.9,180.15,181.62,193.09
county,Beaufort County,walking,NA,South Carolina,United States,100,104.9,114.89,128.92,146.86,158.9,113.63,118.93,97.75,105.76,109.86,117.54,136.93,88.55,96.1,94.31,109.07,119.13,114.89,128.66,91.86,118.33,118.2,112.31,113.57,134.48,158.97,92.06,121.44,121.51,125.28,135.94,194.37,195.96,124.69,140.24,140.7,136.33,127.2,159.43,155.06,115.42,123.69,125.55,123.3,145.8,170.42,196.23,132.96,152.42,161.35,130.97,131.17,199.4,229.72,168.23,200.53,186.76,195.3,200.93,213.3,236.2,182,177.3,167.7,161.48,144.14,130.84,109.79,79.09,109.07,95.23,90.73,95.9,94.18,85.37,80.08,89.61,77.7,85.84,80.74,80.54,79.95,77.83,91,75.38,83.19,80.48,94.64,78.29,51.62,74.26,92.52,81.07,82.2,94.9,86.9,53.28,79.68,90.07,99.21,84.32,111.58,112.44,101.39,109.2,110.06,108.74,117.6,139.44,167.37,145.14,141.3,152.68,141.76,172.47,212.11,228.46,170.15,175.05,141.03,203.51,218.53,273.2,339.25,295.37,276.84,259.83,250.5,286.96,387.09,505.43,417.34,346.59,294.37,293.12,299.34,342.62,359.76,310.26,382.46,355.46,336.66,350.56,353.67,472.47,374.72,349.44,333.42,342.42,346.06,381.14,477.04,400.07,422.63,437.79,380.34,397.09,409.79,521.38,410.52,463.6,439.64,440.9,447.92,411.91,488.62,441.63,445.67,407.54,400.07,413.3,466.45,533.62,398.01,388.09,382.06,403.11,396.1,409.73,496.82,409.73,423.23,387.62,396.89,396.89,414.23,499.07,430.58,424.02,409.66,382.2,392.39,410.13,504.83,403.51,400.66,378.69,378.82,365.78,364.33,440.11,347.32,327.13,335.87,352.28,366.58,387.82,434.35,344.54,356.78,331.5,334.15,351.89,363.2,401.26,291.86,281.67,302.32,267.77,277.76,346.86,374.19,244.67,257.45,264.13,257.51,276.24,306.22,333.29,209.33,238.58,235.47,249.97,270.55,409,471.87,415.16,283.06,262.41,247.45,250.5,302.32,312.51,232.69,262.01,240.97,236,241.16,304.96,330.77,254.47,279.29,271.48,283.85,277.5
